Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 20:05:09,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:10:05,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:15:06,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:20:05,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:25:07,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:30:06,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:35:04,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:40:05,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:45:05,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:50:06,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 20:55:05,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:00:07,50.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:05:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:10:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:15:06,51.0,49.20,0.00,0.00,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:20:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:25:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:30:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:35:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:40:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:45:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:50:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 21:55:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:00:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:05:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:10:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:15:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:20:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:25:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:30:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:35:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:40:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:45:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:50:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 22:55:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:00:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:05:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:10:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:15:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:20:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:25:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:30:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:35:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:40:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:45:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:50:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
24/02/2021 23:55:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:00:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:05:08,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:10:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:15:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:20:05,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:25:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:30:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:35:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:40:07,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:45:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:50:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
25/02/2021 00:55:06,51.0,49.20,0.00,1.36,299.68,48.34,49.20,47.9,50.18,
