Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 00:05:12,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:10:11,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:15:07,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:20:13,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:25:08,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:30:09,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:35:08,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:40:10,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:45:09,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:50:12,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 00:55:10,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:00:12,50.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:05:08,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:10:08,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:15:11,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:20:10,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:25:09,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:30:11,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:35:10,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:40:08,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:45:10,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:50:10,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 01:55:09,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:00:10,51.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:05:08,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:10:09,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:15:09,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:20:11,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:25:08,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:30:09,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:35:09,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:40:10,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:45:08,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:50:07,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 02:55:09,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:00:11,52.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:05:09,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:10:09,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:15:10,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:20:10,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:25:07,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:30:11,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:35:08,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:40:09,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:45:08,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:50:09,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 03:55:07,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:00:14,53.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:05:10,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:10:07,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:15:12,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:20:08,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:25:10,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:30:09,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:35:10,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:40:08,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:45:10,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:50:09,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 04:55:08,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:00:12,54.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:05:09,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:10:09,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:15:10,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:20:08,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:25:09,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:30:10,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:35:09,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:40:08,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:45:09,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:50:12,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 05:55:08,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:00:13,55.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:05:11,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:10:11,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:15:08,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:20:11,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:25:09,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:30:09,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:35:08,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:40:12,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:45:10,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:50:09,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 06:55:08,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:00:14,56.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:05:10,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:10:09,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:15:10,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:20:11,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:25:08,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:30:12,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:35:12,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:40:11,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:45:09,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:50:10,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 07:55:10,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:00:11,57.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:05:11,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:10:09,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:15:08,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:20:10,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:25:09,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:30:12,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:35:11,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:40:09,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:45:09,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:50:09,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 08:55:13,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:00:17,58.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:05:09,59.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:10:09,59.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:15:09,59.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:20:11,59.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:25:08,59.0,12.64,0.00,0.00,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:30:10,59.0,12.64,-0.04,-0.32,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:35:10,59.0,12.64,-0.04,-0.32,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:40:10,59.0,12.64,-0.04,-0.32,88.76,12.74,12.64,12.61,12.78,
01/03/2021 09:45:09,59.0,12.70,0.06,0.47,867,12.71,12.64,12.7,12.715,
01/03/2021 09:50:09,59.0,12.71,0.07,0.51,5.91,12.71,12.64,12.69,12.73,
01/03/2021 09:55:11,59.0,12.71,0.07,0.51,7.65,12.71,12.64,12.69,12.73,
01/03/2021 10:00:14,59.0,12.71,0.07,0.51,11.24,12.71,12.64,12.69,12.73,
01/03/2021 10:05:11,60.0,12.70,0.05,0.44,11.35,12.71,12.64,12.69,12.73,
