Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 12:05:19,50.0,102.16,2.20,2.05,309.58,102.27,99.96,100.14,102.6309,
01/03/2021 12:10:14,50.0,102.25,2.29,2.05,312.57,102.27,99.96,100.14,102.6309,
01/03/2021 12:15:12,50.0,102.20,2.24,2.05,314.96,102.27,99.96,100.14,102.6309,
01/03/2021 12:20:12,50.0,101.99,2.03,2.57,318.66,102.27,99.96,100.14,102.6309,
01/03/2021 12:25:09,50.0,102.14,2.18,2.57,320.95,102.27,99.96,100.14,102.6309,
01/03/2021 12:30:08,50.0,102.14,2.18,2.99,323.42,102.27,99.96,100.14,102.6309,
01/03/2021 12:35:08,50.0,102.14,2.18,3.56,326.94,102.27,99.96,100.14,102.6309,
01/03/2021 12:40:09,50.0,102.11,2.15,3.56,331.63,102.27,99.96,100.14,102.6309,
01/03/2021 12:45:10,50.0,101.82,1.86,3.56,335.38,102.27,99.96,100.14,102.6309,
01/03/2021 12:50:07,50.0,101.95,1.99,3.56,346.75,102.27,99.96,100.14,102.6309,
01/03/2021 12:55:14,50.0,101.83,1.87,3.56,350.32,102.27,99.96,100.14,102.6309,
01/03/2021 13:00:10,50.0,101.40,1.44,3.56,355.22,102.27,99.96,100.14,102.6309,
01/03/2021 13:05:10,50.0,101.33,1.37,2.05,370.1,102.27,99.96,100.14,102.6309,
01/03/2021 13:10:15,50.0,101.18,1.22,2.05,374.2,102.27,99.96,100.14,102.6309,
01/03/2021 13:15:06,50.0,100.82,0.86,2.05,382.11,102.27,99.96,100.14,102.6309,
01/03/2021 13:20:13,50.0,100.66,0.70,2.31,391.57,102.27,99.96,100.14,102.6309,
01/03/2021 13:25:07,50.0,100.62,0.66,1.39,405.33,102.27,99.96,100.14,102.6309,
01/03/2021 13:30:11,50.0,100.75,0.79,1.39,413.76,102.27,99.96,100.14,102.6309,
01/03/2021 13:35:16,50.0,101.02,1.06,1.39,419.99,102.27,99.96,100.14,102.6309,
01/03/2021 13:40:13,50.0,101.09,1.13,2.05,433.95,102.27,99.96,100.14,102.6309,
01/03/2021 13:45:11,50.0,101.29,1.33,2.05,438.72,102.27,99.96,100.14,102.6309,
01/03/2021 13:50:13,50.0,101.33,1.37,2.05,444.31,102.27,99.96,100.14,102.6309,
01/03/2021 13:55:34,50.0,101.53,1.57,2.05,452.64,102.27,99.96,100.14,102.6309,
01/03/2021 14:00:39,50.0,101.59,1.63,2.05,453.46,102.27,99.96,100.14,102.6309,
01/03/2021 14:05:28,50.0,101.93,1.97,2.05,457.9,102.27,99.96,100.14,102.6309,
01/03/2021 14:10:13,50.0,102.07,2.10,2.05,463.3,102.27,99.96,100.14,102.6309,
01/03/2021 14:15:20,50.0,102.13,2.17,2.05,465.55,102.27,99.96,100.14,102.6309,
01/03/2021 14:20:12,50.0,101.88,1.92,2.05,469.64,102.27,99.96,100.14,102.6309,
01/03/2021 14:25:15,50.0,101.66,1.69,2.05,477.77,102.27,99.96,100.14,102.6309,
01/03/2021 14:30:13,50.0,101.63,1.67,2.05,480.22,102.27,99.96,100.14,102.6309,
01/03/2021 14:35:34,50.0,101.81,1.85,2.00,485.12,102.27,99.96,100.14,102.6309,
01/03/2021 14:40:08,50.0,101.60,1.63,2.00,488.45,102.27,99.96,100.14,102.6309,
01/03/2021 14:45:09,50.0,101.60,1.64,2.00,492.01,102.27,99.96,100.14,102.6309,
01/03/2021 14:50:12,50.0,101.71,1.75,2.00,494.63,102.27,99.96,100.14,102.6309,
01/03/2021 14:55:21,50.0,101.58,1.62,2.00,500.08,102.27,99.96,100.14,102.6309,
01/03/2021 15:00:18,50.0,101.16,1.19,2.00,504.94,102.27,99.96,100.14,102.6309,
01/03/2021 15:10:09,50.0,101.06,1.10,2.00,517.32,102.27,99.96,100.14,102.6309,
01/03/2021 15:15:14,50.0,100.49,0.53,2.00,524.49,102.27,99.96,100.14,102.6309,
01/03/2021 15:20:24,50.0,100.61,0.65,2.00,533.19,102.27,99.96,100.14,102.6309,
01/03/2021 15:25:17,50.0,100.45,0.49,2.00,547.36,102.27,99.96,100.14,102.6309,
01/03/2021 15:30:17,50.0,100.39,0.43,2.00,556.94,102.27,99.96,100.14,102.6309,
01/03/2021 15:35:12,50.0,100.59,0.63,1.47,588.34,102.27,99.96,100.14,102.6309,
01/03/2021 15:40:14,50.0,100.17,0.21,1.47,603.96,102.27,99.96,100.14,102.6309,
01/03/2021 15:45:14,50.0,100.23,0.27,1.47,617.98,102.27,99.96,100.14,102.6309,
01/03/2021 15:50:23,50.0,100.10,0.14,2.60,649.77,102.27,99.96,100.065,102.6309,
01/03/2021 15:55:20,50.0,100.15,0.19,2.60,677.16,102.27,99.96,100.0,102.6309,
01/03/2021 16:00:22,50.0,100.21,0.12,2.71,719.02,102.27,100.09,100.0,102.6309,
01/03/2021 16:05:17,50.0,100.21,0.12,2.71,745.33,102.27,100.09,100.0,102.6309,
01/03/2021 16:10:36,50.0,100.21,0.12,2.71,791.94,102.27,100.09,100.0,102.6309,
01/03/2021 16:15:32,50.0,100.21,0.00,2.71,927.12,102.27,100.21,100.0,102.6309,
01/03/2021 16:20:17,50.0,100.21,0.00,2.71,956.28,102.27,100.21,100.0,102.6309,
01/03/2021 16:25:54,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:30:22,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:35:19,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:40:20,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:45:11,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:50:14,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 16:55:08,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:00:09,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:05:08,50.0,100.21,0.00,2.71,1100000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:10:11,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:15:11,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:20:09,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:25:10,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:37:52,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
01/03/2021 17:42:19,50.0,100.21,0.00,2.71,1110000.0,102.27,100.21,100.0,102.6309,
