Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 06:05:03,58.0,138.66,1.54,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:10:04,58.0,138.70,1.58,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:15:04,58.0,138.70,1.58,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:20:03,58.0,138.55,1.43,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:25:04,58.0,138.21,1.09,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:30:04,58.0,138.38,1.26,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:35:04,58.0,138.59,1.47,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:40:04,58.0,138.45,1.33,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:45:04,58.0,138.45,1.33,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:50:05,58.0,138.06,0.94,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 06:55:02,58.0,138.28,1.16,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:00:05,58.0,138.28,1.16,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:05:03,71.0,138.24,1.12,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:10:03,71.0,138.44,1.32,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:15:03,71.0,138.49,1.37,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:20:05,71.0,138.33,1.21,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:25:04,71.0,138.66,1.54,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:30:04,71.0,138.68,1.56,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:35:05,71.0,138.64,1.52,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:40:04,71.0,138.55,1.43,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:45:03,71.0,138.60,1.48,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:50:03,71.0,138.53,1.41,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 07:55:03,71.0,138.68,1.56,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:00:05,71.0,138.26,1.14,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:05:04,84.0,138.53,1.41,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:10:05,84.0,138.62,1.50,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:15:03,84.0,138.63,1.51,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:20:03,84.0,138.70,1.58,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:25:04,84.0,138.40,1.28,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:30:04,84.0,138.39,1.27,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:35:04,84.0,138.40,1.28,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:40:03,84.0,138.11,0.99,0.18,14430000.0,136.38,137.12,134.44,138.48,
24/02/2021 08:45:03,84.0,138.09,0.97,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 08:50:04,84.0,137.76,0.64,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 08:55:04,84.0,137.14,0.02,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:00:04,84.0,136.50,-0.62,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:05:05,99.0,137.10,-0.02,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:10:04,99.0,136.82,-0.30,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:15:03,99.0,136.55,-0.57,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:20:03,99.0,136.70,-0.42,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:25:03,99.0,136.52,-0.61,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:30:05,99.0,137.12,-2.34,0.18,41.21,136.38,137.12,134.44,138.48,
24/02/2021 09:35:03,99.0,136.23,-0.89,-0.66,213.56,136.305,137.12,136.06,137.04,
24/02/2021 09:40:03,99.0,136.37,-0.75,-0.59,323.08,136.305,137.12,135.4,137.04,
24/02/2021 09:45:05,99.0,135.69,-1.43,-0.77,647.66,136.4,137.12,135.4,137.04,
24/02/2021 09:50:03,99.0,136.85,-0.27,-0.27,809.05,136.4,137.12,135.4,137.05,
24/02/2021 09:55:04,99.0,136.18,-0.94,-0.70,1040000.0,136.4,137.12,135.4,137.11,
24/02/2021 10:00:07,99.0,135.81,-1.31,-0.90,1240000.0,136.4,137.12,135.4,137.11,
24/02/2021 10:05:04,114.0,135.47,-1.65,-0.81,1480000.0,136.4,137.12,135.2049,137.11,
24/02/2021 10:10:03,114.0,135.25,-1.87,-0.83,1660000.0,136.4,137.12,135.12,137.11,
24/02/2021 10:15:03,114.0,135.29,-1.84,-0.68,1850000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:20:04,114.0,135.56,-1.56,-0.18,2060000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:25:04,114.0,136.18,-0.94,-0.11,2250000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:30:04,114.0,136.48,-0.64,-0.18,2460000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:35:04,114.0,136.58,-0.54,-0.22,2660000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:40:04,114.0,136.35,-0.77,-0.26,2770000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:46:15,114.0,136.16,-0.96,-0.15,3190000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:50:03,114.0,136.01,-1.11,-0.14,3260000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:54:35,114.0,136.17,-0.95,-0.14,3320000.0,136.4,137.12,135.0924,137.11,
24/02/2021 10:55:03,114.0,136.26,-0.86,-0.20,3330000.0,136.4,137.12,135.0924,137.11,
24/02/2021 11:00:06,114.0,136.51,-0.61,-0.18,3480000.0,136.4,137.12,135.0924,137.11,
24/02/2021 11:05:04,129.0,136.79,-0.33,-0.11,3570000.0,136.4,137.12,135.0924,137.11,
24/02/2021 11:10:03,129.0,136.67,-0.45,-0.16,3670000.0,136.4,137.12,135.0924,137.11,
24/02/2021 11:15:04,129.0,136.85,-0.28,-0.23,3830000.0,136.4,137.12,135.0924,137.11,
24/02/2021 11:20:05,129.0,137.46,0.34,-0.15,3930000.0,136.4,137.12,135.0924,137.5,
24/02/2021 11:25:03,129.0,137.49,0.37,-0.07,4020000.0,136.4,137.12,135.0924,137.6,
24/02/2021 11:30:04,129.0,137.56,0.44,-0.05,4290000.0,136.4,137.12,135.0924,137.75,
24/02/2021 11:35:04,129.0,137.80,0.68,-0.07,4500000.0,136.4,137.12,135.0924,137.87,
24/02/2021 11:40:05,129.0,137.81,0.69,-0.07,4570000.0,136.4,137.12,135.0924,137.87,
24/02/2021 11:45:03,129.0,137.38,0.26,-0.24,4660000.0,136.4,137.12,135.0924,137.87,
24/02/2021 11:50:04,129.0,138.00,0.88,-0.02,4750000.0,136.4,137.12,135.0924,138.06,
24/02/2021 11:55:04,129.0,138.29,1.17,0.02,4830000.0,136.4,137.12,135.0924,138.46,
24/02/2021 12:00:05,129.0,138.50,1.38,-0.08,4920000.0,136.4,137.12,135.0924,138.5,
24/02/2021 12:05:04,142.0,138.78,1.66,0.03,5050000.0,136.4,137.12,135.0924,138.88,
24/02/2021 12:10:05,142.0,138.71,1.59,-0.08,5200000.0,136.4,137.12,135.0924,138.88,
24/02/2021 12:15:04,142.0,138.65,1.53,0.03,5310000.0,136.4,137.12,135.0924,138.88,
24/02/2021 12:20:03,142.0,139.03,1.91,0.01,5450000.0,136.4,137.12,135.0924,139.15,
24/02/2021 12:25:04,142.0,139.08,1.96,0.09,5540000.0,136.4,137.12,135.0924,139.15,
24/02/2021 12:30:04,142.0,139.05,1.93,-0.03,5630000.0,136.4,137.12,135.0924,139.15,
24/02/2021 12:35:04,142.0,139.68,2.56,0.00,5980000.0,136.4,137.12,135.0924,139.94,
24/02/2021 12:40:04,142.0,139.53,2.41,0.01,6120000.0,136.4,137.12,135.0924,139.94,
24/02/2021 12:45:02,142.0,139.25,2.13,0.11,6220000.0,136.4,137.12,135.0924,139.94,
24/02/2021 12:50:04,142.0,139.40,2.28,-0.03,6550000.0,136.4,137.12,135.0924,139.95,
24/02/2021 12:55:03,142.0,139.28,2.16,-0.19,6720000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:00:04,142.0,139.22,2.10,-0.18,6820000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:05:04,155.0,138.87,1.75,-0.19,6950000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:10:04,155.0,139.22,2.10,-0.12,7070000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:15:04,155.0,139.58,2.46,0.01,7160000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:20:04,155.0,139.65,2.53,-0.03,7260000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:25:03,155.0,139.66,2.54,0.17,7370000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:30:05,155.0,139.60,2.48,0.19,7510000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:35:03,155.0,139.85,2.73,0.19,7640000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:40:04,155.0,139.84,2.72,0.13,7750000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:45:03,155.0,139.80,2.68,0.05,7890000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:50:04,155.0,139.73,2.61,0.05,8030000.0,136.4,137.12,135.0924,139.95,
24/02/2021 13:55:04,155.0,139.65,2.53,0.11,8110000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:00:04,155.0,139.76,2.64,0.15,8230000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:05:04,168.0,139.83,2.71,0.12,8280000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:10:04,168.0,139.61,2.49,0.11,8370000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:15:04,168.0,139.47,2.35,0.13,8460000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:20:03,168.0,139.64,2.52,0.19,8540000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:25:05,168.0,139.79,2.67,0.14,8650000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:30:04,168.0,139.70,2.58,0.20,8730000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:35:04,168.0,139.80,2.68,0.17,8840000.0,136.4,137.12,135.0924,139.95,
24/02/2021 14:40:04,168.0,139.98,2.86,0.15,8920000.0,136.4,137.12,135.0924,139.99,
24/02/2021 14:45:05,168.0,140.18,3.06,0.11,9040000.0,136.4,137.12,135.0924,140.25,
24/02/2021 14:50:03,168.0,139.88,2.76,0.05,9190000.0,136.4,137.12,135.0924,140.25,
24/02/2021 14:55:02,168.0,140.04,2.92,0.15,9250000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:00:05,168.0,140.00,2.88,0.16,9340000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:05:02,181.0,139.82,2.70,0.20,9410000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:10:04,181.0,139.82,2.70,0.20,9470000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:15:03,181.0,139.73,2.61,0.24,9540000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:20:04,181.0,139.72,2.60,0.24,9600000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:25:04,181.0,139.79,2.67,0.32,9690000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:30:05,181.0,139.97,2.85,0.35,9780000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:35:04,181.0,140.24,3.12,0.44,9870000.0,136.4,137.12,135.0924,140.25,
24/02/2021 15:40:04,181.0,140.46,3.34,0.56,9980000.0,136.4,137.12,135.0924,140.46,
24/02/2021 15:45:04,181.0,140.36,3.24,0.42,10120000.0,136.4,137.12,135.0924,140.4669,
24/02/2021 15:50:04,181.0,140.57,3.45,0.44,10250000.0,136.4,137.12,135.0924,140.6331,
24/02/2021 15:55:04,181.0,140.85,3.73,0.49,10430000.0,136.4,137.12,135.0924,140.89,
24/02/2021 16:00:05,181.0,141.10,0.00,0.51,11690000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:05:03,181.0,140.75,-0.35,0.51,12770000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:10:04,181.0,141.10,0.00,0.51,13040000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:15:03,181.0,141.05,-0.05,0.51,12180000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:20:04,181.0,140.83,-0.27,0.51,13060000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:25:04,181.0,141.00,-0.10,0.51,13070000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:30:03,181.0,140.86,-0.24,0.51,13080000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:35:05,181.0,140.69,-0.41,0.51,13080000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:40:04,181.0,140.81,-0.29,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:45:04,181.0,140.94,-0.16,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:50:04,181.0,140.96,-0.14,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 16:55:04,181.0,141.05,-0.05,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:00:06,181.0,141.05,-0.05,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:05:05,181.0,141.10,0.00,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:10:06,181.0,141.00,-0.10,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:15:06,181.0,141.19,0.09,0.51,13090000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:20:06,181.0,141.08,-0.02,0.51,13100000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:25:06,181.0,141.28,0.18,0.51,13100000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:30:05,181.0,141.27,0.17,0.51,13100000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:35:06,181.0,141.00,-0.10,0.51,13100000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:40:06,181.0,141.01,-0.09,0.51,13100000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:45:06,181.0,141.00,-0.10,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:50:06,181.0,141.20,0.09,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 17:55:06,181.0,141.01,-0.09,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:00:07,181.0,141.01,-0.09,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:05:08,181.0,141.35,0.25,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:10:05,183.0,141.35,0.25,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:15:05,183.0,141.12,0.02,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:20:06,183.0,141.30,0.20,0.51,13130000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:25:06,183.0,141.10,0.00,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:30:05,183.0,141.01,-0.09,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:35:06,183.0,141.01,-0.09,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:40:06,183.0,141.01,-0.09,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:45:06,183.0,141.22,0.12,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:50:05,183.0,141.20,0.10,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 18:55:06,183.0,141.20,0.10,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:00:06,183.0,141.22,0.12,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:05:07,183.0,141.20,0.10,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:10:06,183.0,141.29,0.19,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:15:05,183.0,141.29,0.19,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:20:06,183.0,141.30,0.20,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:25:05,183.0,141.30,0.20,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:30:06,183.0,141.30,0.20,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:35:06,183.0,141.37,0.27,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:40:06,183.0,141.23,0.13,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:45:06,183.0,141.47,0.37,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:50:06,183.0,141.45,0.35,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 19:55:06,183.0,141.45,0.35,0.51,13140000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:00:05,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:05:08,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:10:06,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:15:06,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:20:06,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
24/02/2021 20:25:06,183.0,141.45,0.35,0.51,13150000.0,136.4,141.10,135.0924,141.18,
