Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 17:05:06,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:10:06,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:15:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:20:10,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:25:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:30:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:35:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:40:07,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:45:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:50:07,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 17:55:07,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:00:08,50.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:05:08,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:10:07,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:15:08,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:20:06,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:25:07,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:30:07,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:35:07,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:40:08,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:45:09,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:50:08,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 18:55:07,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:00:08,52.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:05:07,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:10:06,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:15:06,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:20:07,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:25:06,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:30:10,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:35:05,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:40:06,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:45:06,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:50:09,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 19:55:08,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:00:05,54.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:05:08,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:10:08,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:15:07,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:20:08,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:25:06,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:30:08,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:35:07,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:40:06,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:45:08,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:50:06,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 20:55:06,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 21:00:11,56.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 21:05:09,59.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
27/02/2021 21:10:07,59.0,67.77,0.00,-0.67,546.5,68.63,67.77,67.03,69.69,
