Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,91.0,502.00,-0.87,-3.18,340.5,484.55,502.87,465.31,505.99,
23/02/2021 17:35:03,91.0,502.00,-0.87,-3.18,340.5,484.55,502.87,465.31,505.99,
23/02/2021 17:40:04,91.0,502.00,-0.87,-3.18,340.5,484.55,502.87,465.31,505.99,
23/02/2021 17:45:03,91.0,502.00,-0.87,-3.18,340.5,484.55,502.87,465.31,505.99,
23/02/2021 17:50:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 17:55:03,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:00:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:05:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:10:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:15:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:20:04,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:25:03,91.0,502.00,-2.61,-3.18,340.51,484.55,502.87,465.31,505.99,
23/02/2021 18:30:03,91.0,502.87,0.00,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 18:35:03,91.0,502.87,0.00,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 18:40:04,91.0,502.87,0.00,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 18:45:04,91.0,503.00,0.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 18:50:03,91.0,503.00,0.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 18:55:03,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:00:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:05:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:10:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:15:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:20:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:25:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:30:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:35:03,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:40:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:45:04,91.0,505.00,2.13,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:50:04,91.0,498.07,-4.80,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 19:55:03,91.0,498.07,-4.80,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 20:00:04,91.0,498.07,-4.80,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 20:05:04,91.0,498.07,-4.80,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 20:10:04,91.0,498.07,-4.80,-3.18,340.53,484.55,502.87,465.31,505.99,
23/02/2021 20:15:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:20:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:25:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:30:03,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:35:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:40:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:45:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:50:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 20:55:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:00:05,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:05:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:10:03,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:15:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:20:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:25:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:30:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:35:03,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:40:04,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
23/02/2021 21:45:03,91.0,501.01,-1.86,-3.18,340.54,484.55,502.87,465.31,505.99,
