Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,60.0,19.31,-0.38,-1.93,17110000.0,21.44,19.69,18.6056,21.45,
23/02/2021 17:35:02,60.0,19.31,-0.38,-1.93,17110000.0,21.44,19.69,18.6056,21.45,
23/02/2021 17:40:03,60.0,19.20,-0.49,-2.49,17120000.0,21.44,19.69,18.6056,21.45,
23/02/2021 17:45:03,60.0,19.30,-0.39,-1.98,17130000.0,21.44,19.69,18.6056,21.45,
23/02/2021 17:50:03,60.0,19.45,-0.24,-1.22,17130000.0,21.44,19.69,18.6056,21.45,
23/02/2021 17:55:03,60.0,19.45,-0.24,-1.22,17140000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:00:03,60.0,19.45,-0.24,-1.22,17140000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:05:04,65.0,19.40,-0.29,-1.47,17150000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:10:03,65.0,19.43,-0.26,-1.32,17150000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:15:03,65.0,19.44,-0.25,-1.27,17150000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:20:03,65.0,19.44,-0.25,-1.27,17160000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:25:03,65.0,19.40,-0.29,-1.47,17160000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:30:03,65.0,19.40,-0.29,-1.47,17170000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:35:02,65.0,19.40,-0.29,-1.47,17170000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:40:04,65.0,19.43,-0.26,-1.32,17170000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:45:03,65.0,19.43,-0.26,-1.32,17180000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:50:03,65.0,19.35,-0.34,-1.73,17180000.0,21.44,19.69,18.6056,21.45,
23/02/2021 18:55:02,65.0,19.40,-0.29,-1.47,17180000.0,21.44,19.69,18.6056,21.45,
23/02/2021 19:00:04,65.0,19.45,-0.24,-1.22,17190000.0,21.44,19.69,18.6056,21.45,
23/02/2021 19:05:04,71.0,19.43,-0.26,-1.32,17190000.0,21.44,19.69,18.6056,21.45,
23/02/2021 19:10:03,71.0,19.35,-0.34,-1.73,17190000.0,21.44,19.69,18.6056,21.45,
23/02/2021 19:15:03,71.0,19.40,-0.29,-1.47,17200000.0,21.44,19.69,18.6056,21.45,
23/02/2021 19:20:04,71.0,19.35,-0.34,-1.73,17200000.0,21.44,19.69,18.6056,21.45,
