Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 00:05:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:10:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:15:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:20:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:25:03,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:30:03,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:35:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:40:03,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:45:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:50:03,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 00:55:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:00:04,51.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:05:03,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:10:03,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:15:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:20:03,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:25:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:30:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:35:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:40:03,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:45:02,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:50:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 01:55:03,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:00:04,59.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:05:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:10:04,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:15:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:20:04,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:25:04,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:30:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:35:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:40:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:45:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:50:04,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 02:55:03,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:00:04,67.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:05:04,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:10:03,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:15:04,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:20:04,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:25:04,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:30:04,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
24/02/2021 03:35:03,75.0,19.94,-0.06,-0.30,9940000.0,20.03,20.00,18.7,20.08,
