Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 19:10:06,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:15:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:20:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:25:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:30:06,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:35:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:40:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:45:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:50:06,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 19:55:05,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:00:07,51.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:05:07,53.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:10:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:15:05,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:20:04,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:25:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:30:05,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:35:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:40:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:45:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:50:05,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 20:55:05,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:00:06,54.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:05:04,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:10:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:15:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:20:05,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:25:05,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:30:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:35:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:40:04,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:45:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:50:05,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 21:55:04,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:00:06,56.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:05:05,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:10:04,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:15:05,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:20:04,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:25:06,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:30:06,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:35:06,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:40:06,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:45:05,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:50:04,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 22:55:05,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:00:06,58.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:05:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:10:05,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:15:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:20:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:25:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:30:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:35:04,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:40:05,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:45:05,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
24/02/2021 23:50:06,59.0,30.64,0.00,0.00,381.34,29.31,30.64,29.31,30.68,
