Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 11:05:10,50.0,92.05,-5.67,-0.84,96.04,93.7,97.72,89.725,94.4299,
25/02/2021 11:10:06,50.0,92.39,-5.33,-0.94,93.14,93.7,97.72,89.725,94.4299,
25/02/2021 11:15:06,50.0,92.03,-5.69,-1.00,96.08,93.7,97.72,89.725,94.4299,
25/02/2021 11:20:05,50.0,91.53,-6.19,-0.82,98.73,93.7,97.72,89.725,94.4299,
25/02/2021 11:25:06,50.0,91.61,-6.11,-0.88,99.13,93.7,97.72,89.725,94.4299,
25/02/2021 11:30:07,50.0,91.59,-6.13,-0.98,101.68,93.7,97.72,89.725,94.4299,
25/02/2021 11:35:06,50.0,92.18,-5.54,-0.88,105.64,93.7,97.72,89.725,94.4299,
25/02/2021 11:40:06,50.0,92.10,-5.62,-0.88,107.5,93.7,97.72,89.725,94.4299,
25/02/2021 11:45:05,50.0,92.10,-5.62,-0.92,109.07,93.7,97.72,89.725,94.4299,
25/02/2021 11:50:05,50.0,91.78,-5.94,-1.32,109.78,93.7,97.72,89.725,94.4299,
25/02/2021 11:55:07,50.0,92.03,-5.69,-1.52,115.52,93.7,97.72,89.725,94.4299,
25/02/2021 12:00:07,50.0,92.06,-5.66,-1.72,116.83,93.7,97.72,89.725,94.4299,
25/02/2021 12:05:07,50.0,92.00,-5.72,-1.96,130.42,93.7,97.72,89.725,94.4299,
25/02/2021 12:10:06,50.0,91.97,-5.75,-2.04,132.75,93.7,97.72,89.725,94.4299,
25/02/2021 12:15:06,50.0,91.71,-6.01,-2.04,136.52,93.7,97.72,89.725,94.4299,
25/02/2021 12:20:07,50.0,91.90,-5.83,-2.02,141.25,93.7,97.72,89.725,94.4299,
25/02/2021 12:25:05,50.0,91.88,-5.84,-2.12,144.78,93.7,97.72,89.725,94.4299,
25/02/2021 12:30:05,50.0,91.60,-6.12,-2.72,147.55,93.7,97.72,89.725,94.4299,
25/02/2021 12:35:06,50.0,91.73,-6.00,-3.12,151.1,93.7,97.72,89.725,94.4299,
25/02/2021 12:40:06,50.0,91.85,-5.87,-3.55,155.71,93.7,97.72,89.725,94.4299,
25/02/2021 12:45:07,50.0,91.95,-5.77,-3.33,159.54,93.7,97.72,89.725,94.4299,
25/02/2021 12:50:08,50.0,91.94,-5.78,-3.08,165.87,93.7,97.72,89.725,94.4299,
