Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 15:05:07,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:10:08,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:15:08,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:20:09,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:25:07,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:30:09,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:35:08,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:40:08,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:45:07,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:50:09,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 15:55:08,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:00:10,51.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:05:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:10:09,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:15:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:20:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:25:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:30:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:35:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:40:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:45:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:50:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 16:55:06,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:00:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:05:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:10:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:15:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:20:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:25:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:30:09,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:35:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:40:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:45:06,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:50:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 17:55:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 18:00:11,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 18:05:10,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 18:10:08,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 18:15:09,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
27/02/2021 18:20:07,63.0,13.50,0.01,0.07,8790000.0,14.79,13.49,12.85,15.0,
