Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 03:00:05,56.0,430.50,-11.50,-1.46,151.7,440.0,44200.0,400.5,441.0,
24/02/2021 03:05:05,57.0,430.50,-11.50,-1.46,151.7,440.0,44200.0,400.5,441.0,
24/02/2021 03:10:04,57.0,430.50,-11.50,-1.46,151.7,440.0,44200.0,400.5,441.0,
24/02/2021 03:15:03,57.0,430.50,-11.50,-1.46,151.7,440.0,44200.0,400.5,441.0,
24/02/2021 03:20:04,57.0,440.00,9.50,-1.46,2.78,433.5,43050.0,433.5,442.0,
24/02/2021 03:25:05,57.0,437.00,6.50,-1.46,3.28,433.5,43050.0,433.5,443.0,
24/02/2021 03:30:04,57.0,442.00,11.50,-1.46,6.03,433.5,43050.0,433.5,443.0,
24/02/2021 03:35:03,57.0,447.00,16.50,-1.46,6.58,433.5,43050.0,433.5,447.0,
24/02/2021 03:40:04,57.0,446.00,15.50,-1.46,7.71,433.5,43050.0,433.5,447.0,
24/02/2021 03:45:04,57.0,445.00,14.50,-1.46,8.01,433.5,43050.0,433.5,447.0,
24/02/2021 03:50:04,57.0,446.00,15.50,0.00,8.54,433.5,43050.0,433.5,447.0,
24/02/2021 03:55:04,57.0,441.00,10.50,0.00,9.45,433.5,43050.0,433.5,447.0,
24/02/2021 04:00:05,57.0,446.50,16.00,0.00,10.6,433.5,43050.0,433.5,447.0,
24/02/2021 04:05:04,57.0,444.50,14.00,1.14,11.13,433.5,43050.0,433.5,447.0,
24/02/2021 04:10:04,57.0,444.00,13.50,1.14,11.66,433.5,43050.0,433.5,447.0,
24/02/2021 04:15:04,57.0,441.00,10.50,1.36,14.31,433.5,43050.0,433.5,447.0,
24/02/2021 04:20:04,57.0,438.00,7.50,2.05,15.53,433.5,43050.0,433.5,447.0,
24/02/2021 04:25:04,57.0,437.00,6.50,2.05,16.17,433.5,43050.0,433.5,447.0,
