Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 12:05:06,50.0,16.62,0.33,2.03,631.69,16.5,16.29,15.8,16.85,
24/02/2021 12:10:05,50.0,16.60,0.31,1.90,642.96,16.5,16.29,15.8,16.85,
24/02/2021 12:15:04,50.0,16.61,0.32,1.93,648.57,16.5,16.29,15.8,16.85,
24/02/2021 12:20:04,50.0,16.60,0.31,1.90,660.11,16.5,16.29,15.8,16.85,
24/02/2021 12:25:05,50.0,16.62,0.33,2.03,664.55,16.5,16.29,15.8,16.85,
24/02/2021 12:30:05,50.0,16.64,0.35,2.15,670.68,16.5,16.29,15.8,16.85,
24/02/2021 12:35:05,50.0,16.76,0.47,2.89,677,16.5,16.29,15.8,16.85,
24/02/2021 12:40:05,50.0,16.75,0.46,2.82,684.7,16.5,16.29,15.8,16.85,
24/02/2021 12:45:03,50.0,16.75,0.46,2.82,690.81,16.5,16.29,15.8,16.85,
24/02/2021 12:50:06,50.0,16.68,0.39,2.39,701.4,16.5,16.29,15.8,16.85,
24/02/2021 12:55:05,50.0,16.72,0.43,2.65,706.29,16.5,16.29,15.8,16.85,
24/02/2021 13:00:04,50.0,16.68,0.39,2.39,716.37,16.5,16.29,15.8,16.85,
24/02/2021 13:05:05,52.0,16.65,0.36,2.18,732.1,16.5,16.29,15.8,16.85,
24/02/2021 13:10:05,52.0,16.57,0.28,1.72,740.39,16.5,16.29,15.8,16.85,
24/02/2021 13:15:04,52.0,16.60,0.31,1.90,748.19,16.5,16.29,15.8,16.85,
24/02/2021 13:20:05,52.0,16.65,0.36,2.18,755.89,16.5,16.29,15.8,16.85,
24/02/2021 13:25:04,52.0,16.66,0.37,2.27,767.66,16.5,16.29,15.8,16.85,
24/02/2021 13:30:05,52.0,16.69,0.40,2.46,767.8,16.5,16.29,15.8,16.85,
24/02/2021 13:35:04,52.0,16.67,0.38,2.33,776.39,16.5,16.29,15.8,16.85,
24/02/2021 13:40:05,52.0,16.64,0.35,2.15,784.61,16.5,16.29,15.8,16.85,
24/02/2021 13:45:04,52.0,16.62,0.33,2.03,788.95,16.5,16.29,15.8,16.85,
24/02/2021 13:50:04,52.0,16.56,0.27,1.66,806.11,16.5,16.29,15.8,16.85,
24/02/2021 13:55:04,52.0,16.51,0.22,1.32,814.19,16.5,16.29,15.8,16.85,
24/02/2021 14:00:05,52.0,16.48,0.19,1.17,820.49,16.5,16.29,15.8,16.85,
24/02/2021 14:05:05,52.0,16.38,0.09,0.55,846.89,16.5,16.29,15.8,16.85,
24/02/2021 14:10:04,52.0,16.45,0.16,0.95,874.24,16.5,16.29,15.8,16.85,
24/02/2021 14:15:05,52.0,16.50,0.21,1.29,883.85,16.5,16.29,15.8,16.85,
24/02/2021 14:20:06,52.0,16.52,0.23,1.41,897.2,16.5,16.29,15.8,16.85,
24/02/2021 14:25:05,52.0,16.55,0.26,1.61,911.86,16.5,16.29,15.8,16.85,
24/02/2021 14:30:05,52.0,16.57,0.28,1.69,922.02,16.5,16.29,15.8,16.85,
24/02/2021 14:35:06,52.0,16.44,0.15,0.89,934.41,16.5,16.29,15.8,16.85,
24/02/2021 14:40:06,52.0,16.45,0.16,0.98,940.87,16.5,16.29,15.8,16.85,
24/02/2021 14:45:05,52.0,16.51,0.21,1.32,951.66,16.5,16.29,15.8,16.85,
