Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 09:30:08,56.0,0.65,0.00,-3.50,809.49,0.64,0.65,0.61,0.65,
26/02/2021 09:35:06,56.0,0.65,0.00,-3.50,809.49,0.64,0.65,0.61,0.65,
26/02/2021 09:40:08,56.0,0.65,0.00,-3.50,809.49,0.64,0.65,0.61,0.65,
26/02/2021 09:45:07,56.0,0.62,-0.03,-1.06,55.9,0.62,0.65,0.62,0.62,
26/02/2021 09:50:08,56.0,0.63,-0.02,0.19,86.78,0.62,0.65,0.62,0.63,
26/02/2021 09:55:08,56.0,0.63,-0.02,0.95,90.28,0.62,0.65,0.62,0.63,
26/02/2021 10:00:08,56.0,0.62,-0.03,0.53,116.78,0.62,0.65,0.62,0.63,
26/02/2021 10:05:08,57.0,0.62,-0.03,0.30,119.28,0.62,0.65,0.62,0.63,
26/02/2021 10:10:07,57.0,0.62,-0.03,-0.04,135.58,0.62,0.65,0.62,0.63,
26/02/2021 10:15:07,57.0,0.61,-0.04,-0.26,189.01,0.62,0.65,0.61,0.63,
26/02/2021 10:20:08,57.0,0.61,-0.04,-0.57,203.01,0.62,0.65,0.61,0.63,
26/02/2021 10:25:06,57.0,0.61,-0.04,-1.70,203.11,0.62,0.65,0.61,0.63,
26/02/2021 10:30:07,57.0,0.61,-0.04,-1.59,288.61,0.62,0.65,0.61,0.63,
26/02/2021 10:35:27,57.0,0.62,-0.03,-1.81,289.11,0.62,0.65,0.61,0.63,
26/02/2021 10:40:10,57.0,0.62,-0.03,-2.08,289.41,0.62,0.65,0.61,0.63,
26/02/2021 10:45:07,58.0,0.62,-0.03,-2.65,289.41,0.62,0.65,0.61,0.63,
26/02/2021 10:50:08,58.0,0.62,-0.03,-2.31,289.41,0.62,0.65,0.61,0.63,
26/02/2021 10:55:08,58.0,0.62,-0.03,-1.25,289.41,0.62,0.65,0.61,0.63,
26/02/2021 11:00:09,58.0,0.61,-0.04,-0.98,298.91,0.62,0.65,0.61,0.63,
26/02/2021 11:05:10,58.0,0.61,-0.04,-1.00,298.91,0.62,0.65,0.61,0.63,
26/02/2021 11:10:05,59.0,0.61,-0.04,-1.47,298.91,0.62,0.65,0.61,0.63,
26/02/2021 11:15:05,59.0,0.62,-0.03,-1.47,299.41,0.62,0.65,0.61,0.63,
26/02/2021 11:20:07,59.0,0.62,-0.03,-1.74,299.41,0.62,0.65,0.61,0.63,
26/02/2021 11:25:06,59.0,0.61,-0.04,-1.93,305.69,0.62,0.65,0.61,0.63,
26/02/2021 11:30:05,59.0,0.61,-0.04,-2.23,320.69,0.62,0.65,0.61,0.63,
26/02/2021 11:35:06,59.0,0.62,-0.03,-2.57,397.79,0.62,0.65,0.61,0.63,
26/02/2021 11:40:07,59.0,0.62,-0.03,-2.76,397.79,0.62,0.65,0.61,0.63,
