Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 09:05:09,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:10:09,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:15:09,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:20:10,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:25:07,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:30:11,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:35:09,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:40:10,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:45:10,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:50:07,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 09:55:10,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:00:14,50.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:05:10,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:10:09,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:15:07,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:20:09,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:25:11,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:30:12,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:35:10,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:40:11,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:45:10,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:50:09,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 10:55:08,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:00:13,55.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:05:12,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:10:09,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:15:08,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:20:09,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:25:08,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:30:07,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:35:10,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:40:07,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:45:09,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:50:09,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 11:55:07,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:00:13,61.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:05:10,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:10:09,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:15:08,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:20:07,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:25:10,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:30:10,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:35:09,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:40:07,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:45:07,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:50:09,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 12:55:09,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:00:09,67.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:05:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:10:07,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:15:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:20:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:25:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:30:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:35:07,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:40:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:45:07,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:50:07,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 13:55:07,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:00:12,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:05:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:10:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:15:10,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:20:10,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:25:10,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:30:11,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:35:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:40:10,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:45:08,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:50:10,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 14:55:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 15:00:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
28/02/2021 15:05:09,73.0,129.20,1.64,1.29,1120000.0,122.29,127.56,118.22,134.99,
