Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 17:35:03,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 17:40:03,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 17:45:02,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 17:50:03,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 17:55:03,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:00:03,57.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:05:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:10:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:15:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:20:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:25:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:30:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:35:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:40:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:45:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:50:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 18:55:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:00:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:05:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:10:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:15:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:20:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:25:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:30:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:35:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:40:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:45:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:50:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 19:55:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:00:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:05:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:10:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:15:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:20:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:25:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:30:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:35:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:40:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:45:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:50:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 20:55:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:00:05,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:05:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:10:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:15:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:20:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:25:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:30:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:35:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:40:03,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:45:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:50:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 21:55:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 22:00:05,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
23/02/2021 22:05:04,61.0,152.96,0.00,-2.91,387.71,156.54,152.96,149.965,156.54,
