Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 20:10:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:15:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:20:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:25:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:30:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:35:05,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:40:04,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:45:06,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:50:06,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 20:55:04,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:00:07,50.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:05:05,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:10:04,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:15:06,51.0,45.81,0.31,0.68,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:20:05,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:25:05,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:30:06,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:35:05,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
24/02/2021 21:40:04,51.0,45.81,0.31,-2.27,4040000.0,46.0,45.50,43.92,48.32,
