Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 03:05:07,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:10:06,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:15:08,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:20:09,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:25:10,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:30:08,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:35:09,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:40:09,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:45:09,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:50:11,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 03:55:08,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:00:12,50.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:05:08,52.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:10:10,52.0,60.35,0.33,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:15:12,52.0,59.86,-0.16,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:20:09,52.0,60.71,0.69,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:25:09,52.0,60.15,0.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:30:06,52.0,59.67,-0.35,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:35:08,52.0,59.59,-0.43,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:40:09,52.0,59.59,-0.43,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:45:09,52.0,59.45,-0.57,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:50:08,52.0,59.41,-0.61,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 04:55:09,52.0,59.39,-0.63,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:00:11,52.0,59.39,-0.63,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:05:06,53.0,59.32,-0.70,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:10:08,53.0,59.41,-0.61,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:15:08,53.0,59.43,-0.59,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:20:07,53.0,59.43,-0.59,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:25:06,53.0,59.43,-0.61,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:30:08,53.0,59.35,-0.67,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:35:08,53.0,59.35,-0.67,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:40:10,53.0,59.26,-0.76,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:45:10,53.0,59.11,-0.91,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:50:09,53.0,58.89,-1.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 05:55:07,53.0,58.89,-1.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:00:08,53.0,58.80,-1.22,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:05:10,54.0,58.80,-1.22,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:10:07,54.0,58.81,-1.21,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:15:08,54.0,58.78,-1.24,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:20:08,54.0,58.78,-1.24,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:25:09,54.0,58.69,-1.33,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:35:09,54.0,58.72,-1.30,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:40:09,54.0,58.89,-1.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:45:10,54.0,58.89,-1.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:50:08,54.0,58.94,-1.08,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 06:55:07,54.0,59.19,-0.83,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:00:17,54.0,58.95,-1.07,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:05:04,55.0,59.74,-0.28,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:10:08,55.0,59.59,-0.43,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:15:04,55.0,59.17,-0.85,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:20:06,55.0,59.64,-0.38,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:25:08,55.0,59.74,-0.28,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:30:08,55.0,59.70,-0.32,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:35:07,55.0,59.77,-0.25,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:40:09,55.0,59.71,-0.31,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:45:08,55.0,59.63,-0.39,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:50:07,55.0,59.25,-0.77,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 07:55:07,55.0,59.64,-0.38,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:00:08,55.0,59.40,-0.62,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:05:10,56.0,59.33,-0.69,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:10:12,56.0,59.60,-0.42,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:15:10,56.0,59.41,-0.61,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:20:08,56.0,59.50,-0.52,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:25:08,56.0,59.75,-0.27,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:30:08,56.0,60.15,0.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:35:07,56.0,60.15,0.13,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:40:08,56.0,60.20,0.18,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:45:10,56.0,60.30,0.28,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:50:09,56.0,60.05,0.03,0.00,22910000.0,64.52,60.02,58.9296,64.7,
04/03/2021 08:55:05,56.0,60.01,-0.01,0.00,22910000.0,64.52,60.02,58.9296,64.7,
