Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 19:05:04,58.0,8.15,0.48,6.26,59770000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:10:04,58.0,8.14,0.47,6.13,59790000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:15:04,58.0,8.10,0.43,5.61,59800000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:20:04,58.0,8.11,0.44,5.74,59830000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:25:04,58.0,7.93,0.26,3.39,59830000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:30:03,58.0,7.89,0.22,2.87,59850000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:35:08,58.0,7.85,0.18,2.35,59860000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:40:03,58.0,7.90,0.23,3.00,59920000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:45:03,58.0,7.83,0.16,2.09,59950000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:50:03,58.0,7.84,0.17,2.22,59980000.0,8.66,7.67,6.32,8.89,
23/02/2021 19:55:03,58.0,7.86,0.19,2.48,60000000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:00:03,58.0,8.02,0.35,4.56,60050000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:05:03,60.0,8.02,0.35,4.56,60070000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:10:03,60.0,8.02,0.35,4.56,60100000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:15:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:20:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:25:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:30:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:35:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:40:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:45:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:50:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 20:55:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:00:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:05:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:10:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:15:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:20:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:25:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:30:04,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:35:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:40:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
23/02/2021 21:45:03,60.0,8.03,0.36,4.69,60170000.0,8.66,7.67,6.32,8.89,
