Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 05:05:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:10:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:15:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:20:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:25:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:30:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:35:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:40:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:45:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:50:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 05:55:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:00:09,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:05:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:10:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:15:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:20:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:25:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:30:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:35:06,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:40:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:45:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:50:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 06:55:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:00:10,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:05:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:10:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:15:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:20:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:25:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:30:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:35:09,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:40:08,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:45:09,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:50:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 07:55:07,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:00:12,50.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:05:08,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:10:07,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:15:07,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:20:07,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:25:09,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:30:08,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:35:07,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:40:08,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:45:07,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:50:08,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 08:55:06,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:00:13,51.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:05:11,52.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:10:09,52.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:15:07,52.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:20:06,52.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:25:08,52.0,33.04,0.00,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:30:07,52.0,33.04,0.31,-0.97,135.67,32.56,33.04,32.28,33.35,
26/02/2021 09:35:09,52.0,32.81,-0.23,-0.63,1.22,32.92,33.04,32.73,32.92,
26/02/2021 09:40:07,52.0,32.74,-0.30,-0.92,1.42,32.92,33.04,32.67,32.92,
26/02/2021 09:45:08,52.0,32.74,-0.30,-0.93,2.24,32.92,33.04,32.67,32.92,
26/02/2021 09:50:08,52.0,32.79,-0.25,-0.37,1.93,32.92,33.04,32.66,32.92,
26/02/2021 09:55:09,52.0,32.60,-0.44,-0.36,2.56,32.92,33.04,32.6,32.92,
26/02/2021 10:00:12,52.0,32.63,-0.41,-0.38,3.73,32.92,33.04,32.55,32.92,
26/02/2021 10:05:09,52.0,32.77,-0.27,-0.95,6.8,32.92,33.04,32.545,32.92,
26/02/2021 10:10:09,52.0,32.54,-0.50,-1.60,8.88,32.92,33.04,32.54,32.92,
26/02/2021 10:15:07,52.0,32.60,-0.44,-1.81,11.9,32.92,33.04,32.48,32.92,
26/02/2021 10:20:08,52.0,32.47,-0.57,-1.30,16.26,32.92,33.04,32.47,32.92,
26/02/2021 10:25:08,52.0,32.63,-0.41,-1.30,17.7,32.92,33.04,32.47,32.92,
26/02/2021 10:30:10,52.0,32.54,-0.50,-3.31,18.71,32.92,33.04,32.47,32.92,
26/02/2021 10:35:27,52.0,32.55,-0.49,-3.01,19.61,32.92,33.04,32.45,32.92,
26/02/2021 10:40:09,52.0,32.94,-0.10,-2.77,21.29,32.92,33.04,32.45,32.94,
26/02/2021 10:45:08,52.0,32.94,-0.10,-2.77,22.11,32.92,33.04,32.45,32.94,
26/02/2021 10:50:06,52.0,32.87,-0.17,-3.09,22.28,32.92,33.04,32.45,32.94,
