Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 16:05:12,50.0,57.29,-0.02,-0.03,940.13,56.82,57.31,56.27,57.65,
26/02/2021 16:10:06,50.0,57.29,-0.02,-0.03,990.28,56.82,57.31,56.27,57.65,
26/02/2021 16:15:08,50.0,57.29,0.00,0.00,1290000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:20:06,50.0,57.29,0.00,0.00,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:25:10,50.0,57.29,0.00,0.00,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:30:07,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:35:07,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:40:06,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:45:06,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:50:06,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 16:55:05,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:00:07,50.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:05:08,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:10:07,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:15:06,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:20:06,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:25:07,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:30:07,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:35:12,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:40:11,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:45:19,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:50:06,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 17:55:06,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 18:00:14,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 18:05:12,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 18:10:10,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
26/02/2021 18:15:07,52.0,57.30,0.01,0.01,1350000.0,56.82,57.29,56.27,57.65,
