Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 01:05:05,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:10:05,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:15:03,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:20:03,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:25:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:30:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:35:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:40:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:45:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:50:04,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 01:55:05,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:00:05,50.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:05:04,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:10:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:15:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:20:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:25:04,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:30:04,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:35:04,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:40:04,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:45:03,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:50:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 02:55:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:00:05,51.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:05:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:10:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:15:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:20:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:25:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:30:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:35:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:40:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:45:03,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:50:03,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 03:55:03,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:00:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:05:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:10:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:15:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:20:03,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:25:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:30:09,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:35:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:40:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:45:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:50:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 04:55:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:00:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:05:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:10:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:15:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:20:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:25:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:30:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:35:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:40:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:45:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:50:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 05:55:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:00:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:05:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:10:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:15:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:20:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:25:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:30:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:35:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:40:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:45:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:50:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 06:55:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:00:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:05:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:10:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:15:04,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:20:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:25:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:30:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:35:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:40:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:45:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:50:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 07:55:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:00:07,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:05:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:10:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:15:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:20:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:25:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:35:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:40:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:45:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:50:06,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 08:55:05,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:00:07,52.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:05:06,53.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:10:09,53.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:15:05,53.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:20:06,53.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:25:06,53.0,34.83,0.00,0.00,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:30:06,53.0,34.83,0.75,2.20,130.89,34.03,34.83,33.27,34.98,
24/02/2021 09:35:05,53.0,34.59,-0.24,-0.69,537,34.59,34.83,34.59,34.59,
24/02/2021 09:40:05,53.0,34.59,-0.24,-0.69,537,34.59,34.83,34.59,34.59,
24/02/2021 09:45:05,53.0,34.78,-0.05,-0.15,1.63,34.59,34.83,34.59,34.7775,
24/02/2021 09:50:06,53.0,34.78,-0.05,-0.15,1.64,34.59,34.83,34.59,34.7775,
24/02/2021 09:55:06,53.0,34.74,-0.09,-0.26,1.45,34.59,34.83,34.59,34.7775,
24/02/2021 10:00:07,53.0,34.74,-0.10,-0.27,2.32,34.59,34.83,34.59,34.7775,
24/02/2021 10:05:05,54.0,34.75,-0.09,-0.24,2.02,34.59,34.83,34.59,34.7775,
24/02/2021 10:10:06,54.0,34.75,-0.09,-0.24,2.24,34.59,34.83,34.59,34.7775,
24/02/2021 10:15:06,54.0,34.75,-0.08,-0.23,2.41,34.59,34.83,34.59,34.7775,
24/02/2021 10:20:05,54.0,34.99,0.16,0.46,2.94,34.59,34.83,34.59,34.99,
24/02/2021 10:25:06,54.0,34.99,0.16,0.46,3.24,34.59,34.83,34.59,34.99,
24/02/2021 10:30:05,54.0,35.05,0.22,0.62,3.37,34.59,34.83,34.59,35.045,
24/02/2021 10:35:06,54.0,34.96,0.13,0.37,4.53,34.59,34.83,34.59,35.045,
24/02/2021 10:40:06,54.0,35.00,0.17,0.49,4.28,34.59,34.83,34.59,35.045,
24/02/2021 10:46:12,54.0,34.98,0.15,0.42,5.76,34.59,34.83,34.59,35.045,
24/02/2021 10:50:07,54.0,34.90,0.07,0.19,7.03,34.59,34.83,34.59,35.045,
24/02/2021 10:54:37,54.0,35.00,0.17,0.49,7.26,34.59,34.83,34.59,35.045,
24/02/2021 10:55:05,54.0,35.01,0.18,0.52,7.36,34.59,34.83,34.59,35.045,
24/02/2021 11:00:06,54.0,34.94,0.11,0.32,10.66,34.59,34.83,34.59,35.06,
24/02/2021 11:05:05,55.0,34.97,0.14,0.40,12.62,34.59,34.83,34.59,35.06,
24/02/2021 11:10:05,55.0,34.98,0.15,0.42,13.73,34.59,34.83,34.59,35.06,
24/02/2021 11:15:05,55.0,34.98,0.15,0.43,14.51,34.59,34.83,34.59,35.06,
24/02/2021 11:20:05,55.0,35.12,0.29,0.83,17.91,34.59,34.83,34.59,35.32,
24/02/2021 11:25:04,55.0,35.11,0.28,0.80,17.22,34.59,34.83,34.59,35.32,
24/02/2021 11:30:06,55.0,35.00,0.17,0.49,18.74,34.59,34.83,34.59,35.32,
24/02/2021 11:35:05,55.0,34.98,0.15,0.42,22.48,34.59,34.83,34.59,35.32,
24/02/2021 11:40:05,55.0,34.98,0.15,0.42,23.04,34.59,34.83,34.59,35.32,
24/02/2021 11:45:05,55.0,34.95,0.12,0.33,23.67,34.59,34.83,34.59,35.32,
24/02/2021 11:50:04,55.0,34.98,0.15,0.42,24.8,34.59,34.83,34.59,35.32,
24/02/2021 12:00:05,55.0,35.00,0.17,0.49,25.94,34.59,34.83,34.59,35.32,
24/02/2021 12:05:06,56.0,34.97,0.14,0.41,26.87,34.59,34.83,34.59,35.32,
24/02/2021 12:10:04,56.0,34.94,0.11,0.30,28.1,34.59,34.83,34.59,35.32,
24/02/2021 12:15:04,56.0,35.14,0.31,0.88,41.67,34.59,34.83,34.59,35.37,
24/02/2021 12:20:04,56.0,35.35,0.52,1.49,44.2,34.59,34.83,34.59,35.37,
24/02/2021 12:25:04,56.0,35.23,0.40,1.15,44.93,34.59,34.83,34.59,35.37,
24/02/2021 12:30:04,56.0,35.55,0.72,2.07,46.12,34.59,34.83,34.59,35.55,
24/02/2021 12:35:05,56.0,35.13,0.30,0.85,47.01,34.59,34.83,34.59,35.55,
24/02/2021 12:40:05,56.0,35.00,0.17,0.49,47.64,34.59,34.83,34.59,35.55,
24/02/2021 12:45:04,56.0,34.99,0.16,0.45,48.34,34.59,34.83,34.59,35.55,
24/02/2021 12:50:06,56.0,35.05,0.22,0.63,52.54,34.59,34.83,34.59,35.55,
24/02/2021 12:55:05,56.0,35.16,0.33,0.93,52.78,34.59,34.83,34.59,35.55,
24/02/2021 13:00:05,56.0,35.00,0.17,0.49,52.99,34.59,34.83,34.59,35.55,
24/02/2021 13:05:05,64.0,35.08,0.25,0.72,54.74,34.59,34.83,34.59,35.55,
24/02/2021 13:10:03,64.0,35.08,0.25,0.72,54.99,34.59,34.83,34.59,35.55,
24/02/2021 13:15:03,64.0,35.09,0.26,0.73,55.53,34.59,34.83,34.59,35.55,
24/02/2021 13:20:04,64.0,35.04,0.20,0.59,56.83,34.59,34.83,34.59,35.55,
24/02/2021 13:25:04,64.0,34.97,0.14,0.40,57.05,34.59,34.83,34.59,35.55,
24/02/2021 13:30:04,64.0,35.07,0.24,0.69,57.25,34.59,34.83,34.59,35.55,
24/02/2021 13:35:04,64.0,35.25,0.41,1.19,57.37,34.59,34.83,34.59,35.55,
24/02/2021 13:40:04,64.0,34.95,0.12,0.33,58.79,34.59,34.83,34.59,35.55,
24/02/2021 13:45:03,64.0,35.09,0.26,0.75,58.86,34.59,34.83,34.59,35.55,
24/02/2021 13:50:04,64.0,35.09,0.26,0.75,59.64,34.59,34.83,34.59,35.55,
24/02/2021 13:55:04,64.0,35.04,0.21,0.60,61.26,34.59,34.83,34.59,35.55,
24/02/2021 14:00:05,64.0,34.99,0.16,0.46,62.01,34.59,34.83,34.59,35.55,
24/02/2021 14:05:04,72.0,35.00,0.17,0.49,62.22,34.59,34.83,34.59,35.55,
24/02/2021 14:10:04,72.0,35.00,0.17,0.49,62.53,34.59,34.83,34.59,35.55,
24/02/2021 14:15:06,72.0,34.97,0.14,0.40,66,34.59,34.83,34.59,35.55,
24/02/2021 14:20:05,72.0,35.06,0.23,0.66,65.44,34.59,34.83,34.59,35.55,
24/02/2021 14:25:04,72.0,35.00,0.17,0.49,66.2,34.59,34.83,34.59,35.55,
24/02/2021 14:30:03,72.0,35.14,0.31,0.89,67.32,34.59,34.83,34.59,35.55,
24/02/2021 14:35:04,72.0,35.16,0.33,0.95,68.26,34.59,34.83,34.59,35.55,
24/02/2021 14:40:04,72.0,35.19,0.36,1.03,69.53,34.59,34.83,34.59,35.55,
24/02/2021 14:45:03,72.0,35.23,0.40,1.13,69.46,34.59,34.83,34.59,35.55,
24/02/2021 14:50:04,72.0,35.23,0.39,1.13,70.77,34.59,34.83,34.59,35.55,
24/02/2021 14:55:04,72.0,35.09,0.26,0.75,70.79,34.59,34.83,34.59,35.55,
24/02/2021 15:00:04,72.0,35.09,0.26,0.75,71.52,34.59,34.83,34.59,35.55,
24/02/2021 15:05:04,80.0,35.09,0.26,0.75,71.53,34.59,34.83,34.59,35.55,
24/02/2021 15:10:05,80.0,34.99,0.16,0.46,72.69,34.59,34.83,34.59,35.55,
24/02/2021 15:15:04,80.0,35.00,0.17,0.49,73.08,34.59,34.83,34.59,35.55,
24/02/2021 15:20:05,80.0,35.04,0.20,0.59,73.66,34.59,34.83,34.59,35.55,
24/02/2021 15:25:04,80.0,34.84,0.01,0.03,74.21,34.59,34.83,34.59,35.55,
24/02/2021 15:30:04,80.0,34.85,0.02,0.06,74.59,34.59,34.83,34.59,35.55,
24/02/2021 15:35:04,80.0,34.86,0.02,0.07,76.62,34.59,34.83,34.59,35.55,
24/02/2021 15:40:04,80.0,35.00,0.17,0.49,77.63,34.59,34.83,34.59,35.55,
24/02/2021 15:45:02,80.0,34.94,0.11,0.30,78.53,34.59,34.83,34.59,35.55,
24/02/2021 15:50:04,80.0,35.10,0.27,0.78,80.16,34.59,34.83,34.59,35.55,
24/02/2021 15:55:04,80.0,35.11,0.28,0.80,82.49,34.59,34.83,34.59,35.55,
24/02/2021 16:05:05,80.0,35.03,0.00,0.00,100.33,34.59,35.03,34.59,35.55,
24/02/2021 16:10:04,80.0,35.03,0.00,0.00,103.09,34.59,35.03,34.59,35.55,
24/02/2021 16:15:03,80.0,35.03,0.00,0.00,99.15,34.59,35.03,34.59,35.55,
24/02/2021 16:20:05,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:25:03,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:30:04,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:35:04,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:40:05,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:45:05,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:50:05,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 16:55:04,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
24/02/2021 17:00:06,80.0,35.03,0.00,0.00,99.44,34.59,35.03,34.59,35.55,
