Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 12:05:08,50.0,27.09,0.17,0.22,339.25,26.57,26.92,26.26,27.5,
26/02/2021 12:10:06,50.0,27.18,0.26,0.94,350.25,26.57,26.92,26.26,27.5,
26/02/2021 12:15:06,50.0,27.28,0.36,1.17,355.94,26.57,26.92,26.26,27.5,
26/02/2021 12:20:07,50.0,27.25,0.33,1.21,367.63,26.57,26.92,26.26,27.5,
26/02/2021 12:25:07,50.0,27.28,0.36,1.28,379.92,26.57,26.92,26.26,27.5,
26/02/2021 12:30:08,50.0,27.37,0.45,1.07,391.86,26.57,26.92,26.26,27.5,
26/02/2021 12:35:07,50.0,27.43,0.51,1.38,406.79,26.57,26.92,26.26,27.5,
26/02/2021 12:40:07,50.0,27.53,0.61,1.84,420.81,26.57,26.92,26.26,27.54,
26/02/2021 12:45:06,50.0,27.57,0.65,1.72,437.42,26.57,26.92,26.26,27.595,
26/02/2021 12:50:08,50.0,27.50,0.58,1.60,457.44,26.57,26.92,26.26,27.595,
26/02/2021 12:55:07,50.0,27.60,0.68,1.67,473.85,26.57,26.92,26.26,27.67,
26/02/2021 13:00:08,50.0,27.51,0.59,1.04,491.67,26.57,26.92,26.26,27.67,
26/02/2021 13:05:08,50.0,27.43,0.51,0.80,512.66,26.57,26.92,26.26,27.67,
26/02/2021 13:10:07,50.0,27.58,0.66,1.16,524.44,26.57,26.92,26.26,27.67,
26/02/2021 13:15:08,50.0,27.67,0.75,1.33,533.12,26.57,26.92,26.26,27.68,
26/02/2021 13:20:07,50.0,27.69,0.77,1.31,545.29,26.57,26.92,26.26,27.72,
26/02/2021 13:25:08,50.0,27.76,0.84,1.44,554.74,26.57,26.92,26.26,27.76,
26/02/2021 13:30:08,50.0,27.78,0.86,1.36,566.67,26.57,26.92,26.26,27.78,
26/02/2021 13:35:06,50.0,27.66,0.74,0.85,579.49,26.57,26.92,26.26,27.78,
26/02/2021 13:40:07,50.0,27.64,0.72,0.63,591.72,26.57,26.92,26.26,27.78,
26/02/2021 13:45:09,50.0,27.78,0.86,0.46,606.34,26.57,26.92,26.26,27.78,
26/02/2021 13:50:07,50.0,27.68,0.76,0.48,618.79,26.57,26.92,26.26,27.85,
26/02/2021 13:55:08,50.0,27.66,0.74,0.29,703.55,26.57,26.92,26.26,27.85,
26/02/2021 14:00:09,50.0,27.67,0.75,0.27,714.45,26.57,26.92,26.26,27.85,
26/02/2021 14:05:07,50.0,27.60,0.68,0.21,723.27,26.57,26.92,26.26,27.87,
26/02/2021 14:10:05,50.0,27.64,0.72,0.10,761.88,26.57,26.92,26.26,27.87,
26/02/2021 14:15:06,50.0,27.66,0.74,0.29,767.67,26.57,26.92,26.26,27.87,
26/02/2021 14:20:06,50.0,27.46,0.54,0.07,776.7,26.57,26.92,26.26,27.87,
26/02/2021 14:25:06,50.0,27.42,0.50,0.25,785.17,26.57,26.92,26.26,27.87,
26/02/2021 14:30:06,50.0,27.53,0.61,0.12,790.5,26.57,26.92,26.26,27.87,
26/02/2021 14:35:06,50.0,27.58,0.66,0.44,796.04,26.57,26.92,26.26,27.87,
26/02/2021 14:40:06,50.0,27.52,0.59,0.36,803.3,26.57,26.92,26.26,27.87,
26/02/2021 14:45:05,50.0,27.57,0.65,0.15,811.67,26.57,26.92,26.26,27.87,
26/02/2021 14:50:08,50.0,27.68,0.76,0.58,821.31,26.57,26.92,26.26,27.87,
26/02/2021 14:55:08,50.0,27.74,0.81,0.70,836.06,26.57,26.92,26.26,27.87,
26/02/2021 15:00:08,50.0,27.78,0.86,0.99,845.05,26.57,26.92,26.26,27.87,
26/02/2021 15:05:06,50.0,27.90,0.98,0.83,855.41,26.57,26.92,26.26,27.9143,
26/02/2021 15:10:06,50.0,27.91,0.99,0.80,868.85,26.57,26.92,26.26,27.9143,
26/02/2021 15:15:06,50.0,27.82,0.90,0.73,880.05,26.57,26.92,26.26,27.9143,
26/02/2021 15:20:07,50.0,27.95,1.03,0.78,887.38,26.57,26.92,26.26,27.95,
26/02/2021 15:25:08,50.0,27.86,0.94,0.53,897.65,26.57,26.92,26.26,27.99,
26/02/2021 15:30:07,50.0,27.88,0.96,0.61,908.43,26.57,26.92,26.26,27.99,
26/02/2021 15:35:06,50.0,27.98,1.06,0.65,951.96,26.57,26.92,26.26,27.99,
26/02/2021 15:40:06,50.0,27.96,1.04,0.39,1010000.0,26.57,26.92,26.26,28.0,
26/02/2021 15:45:07,50.0,28.09,1.17,0.68,1040000.0,26.57,26.92,26.26,28.13,
26/02/2021 15:50:06,50.0,28.12,1.20,0.87,1060000.0,26.57,26.92,26.26,28.31,
26/02/2021 15:55:08,50.0,27.90,0.98,0.00,1100000.0,26.57,26.92,26.26,28.31,
26/02/2021 16:05:15,50.0,27.71,0.01,-0.24,1240000.0,26.57,27.70,26.26,28.31,
26/02/2021 16:10:07,50.0,27.71,0.01,-0.24,1290000.0,26.57,27.70,26.26,28.31,
26/02/2021 16:15:07,50.0,27.71,0.00,-0.24,1680000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:20:07,50.0,27.71,0.00,-0.24,1840000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:25:08,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:30:08,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:35:08,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:40:06,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:45:07,50.0,28.38,0.67,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:50:07,50.0,28.38,0.67,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 16:55:08,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:00:08,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:05:06,50.0,27.71,0.00,-0.24,1890000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:10:07,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:15:06,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:20:06,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:25:06,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:30:06,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:35:08,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:40:11,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:45:25,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:50:08,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 17:55:07,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:00:12,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:05:14,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:10:09,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:15:10,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:20:09,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:25:10,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:30:09,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:35:10,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:40:07,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:45:12,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:50:08,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 18:55:08,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:00:13,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:05:13,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:10:10,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:15:12,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:20:11,50.0,27.71,0.00,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:25:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:30:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:35:18,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:40:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:45:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:50:07,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 19:55:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:00:11,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:05:14,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:10:11,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:15:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:20:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:25:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:30:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:35:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:40:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:45:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:50:06,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 20:55:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:00:13,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:05:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:10:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:15:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:20:11,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:25:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:30:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:35:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:40:07,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:45:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:50:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 21:55:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:00:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:05:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:10:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:15:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:20:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:25:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:30:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:35:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:40:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:45:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:50:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 22:55:07,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:00:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:05:36,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:10:13,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:15:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:20:14,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:25:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:30:14,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:35:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:40:14,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:45:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:50:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
26/02/2021 23:55:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:00:17,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:05:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:10:07,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:15:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:20:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:25:11,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:30:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:35:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:40:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:45:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:50:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 00:55:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:00:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:05:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:10:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:15:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:20:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:25:10,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:30:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:35:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:40:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:45:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:50:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 01:55:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 02:00:11,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 02:05:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 02:10:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 02:15:08,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
27/02/2021 02:20:09,50.0,27.31,-0.40,-0.24,1900000.0,26.57,27.71,26.26,28.31,
