Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 02:05:09,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:10:11,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:15:08,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:20:08,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:25:09,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:30:08,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:35:08,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:40:07,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:45:07,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:50:07,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 02:55:07,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:00:12,50.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:05:09,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:10:10,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:15:07,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:20:07,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:25:07,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:30:08,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:35:09,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:40:08,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:45:08,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:50:08,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 03:55:09,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:00:12,51.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:05:07,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:10:10,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:15:07,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:20:05,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:25:10,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:30:09,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:35:10,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:40:08,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:45:08,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:50:08,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 04:55:08,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:00:10,52.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:05:04,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:10:09,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:15:09,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:20:07,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:25:08,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:30:09,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:35:11,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:40:08,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:45:07,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:50:08,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 05:55:12,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:00:14,53.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:05:12,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:10:10,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:15:08,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:20:09,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:25:10,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:30:09,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:35:10,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:40:09,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:45:08,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:50:08,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 06:55:08,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:00:13,54.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:05:11,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:10:11,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:15:09,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:20:08,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:25:08,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:30:09,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:35:08,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:40:10,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:45:10,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:50:09,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 07:55:09,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:00:15,56.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:05:12,58.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:10:09,58.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:15:10,58.0,24.70,0.66,2.75,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:20:07,58.0,25.21,1.17,4.87,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:25:08,58.0,25.21,1.17,4.87,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:30:09,58.0,25.21,1.17,4.87,537.91,28.5,24.04,24.04,28.65,
01/03/2021 08:35:09,58.0,25.21,1.17,4.87,537.91,28.5,24.04,24.04,28.65,
