Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 00:05:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:10:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:15:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:20:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:25:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:30:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:35:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:40:03,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:45:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:50:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 00:55:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:00:04,52.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:05:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:10:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:15:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:20:03,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:25:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:30:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:35:03,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:40:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:45:03,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:50:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 01:55:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:00:04,55.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:05:03,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:10:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:15:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:20:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:25:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:30:03,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:35:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:40:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:45:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:50:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 02:55:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:00:04,58.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:05:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:10:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:15:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:20:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:25:03,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:30:05,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:35:03,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:40:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:45:03,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:50:04,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 03:55:03,61.0,61.91,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:00:05,61.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:05:03,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:10:03,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:15:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:20:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:25:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:30:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:35:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:40:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:45:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:50:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 04:55:04,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
24/02/2021 05:00:05,64.0,61.92,-0.09,1.26,2630000.0,61.41,62.00,60.82,62.155,
