Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,57.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 17:35:03,57.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 17:40:04,57.0,241.46,-0.61,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 17:45:03,57.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 17:50:03,57.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 17:55:03,57.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:00:03,57.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:05:03,58.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:10:03,58.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:15:04,58.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:20:04,58.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:25:04,58.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:30:03,58.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:35:03,58.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:40:04,58.0,242.36,0.90,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:45:04,58.0,243.00,1.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:50:03,58.0,243.00,1.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 18:55:03,58.0,243.00,1.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:00:04,58.0,247.00,5.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:05:04,61.0,247.00,5.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:10:04,61.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:15:04,61.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:20:04,61.0,241.46,0.00,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:25:04,61.0,240.89,-0.57,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:30:04,61.0,243.11,3.21,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:35:08,61.0,243.11,3.21,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:40:03,61.0,245.00,3.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:45:03,61.0,244.10,2.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:50:03,61.0,244.10,2.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 19:55:03,61.0,244.10,2.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:00:04,61.0,244.10,2.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:05:04,63.0,244.10,2.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:10:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:15:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:20:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:25:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:30:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:35:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:40:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:45:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:50:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 20:55:04,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:00:05,63.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:05:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:10:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:15:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:20:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:25:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:30:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:35:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:40:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:45:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:50:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 21:55:03,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:00:04,69.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:05:03,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:10:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:15:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:20:03,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:25:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:30:05,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:35:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:40:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:45:03,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:50:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 22:55:04,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:00:03,77.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:05:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:10:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:15:03,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:20:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:25:03,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:30:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:35:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:40:03,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:45:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:50:03,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
23/02/2021 23:55:03,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:00:04,82.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:05:03,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:10:03,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:15:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:20:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:25:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:30:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:35:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:40:03,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:45:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:50:03,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 00:55:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:00:04,88.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:05:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:10:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:15:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:20:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:25:05,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:30:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:35:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:40:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:45:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:50:05,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 01:55:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:00:04,94.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:05:03,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:10:05,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:15:05,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:20:05,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:25:04,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
24/02/2021 02:30:04,99.0,242.00,0.54,-18.67,2620000.0,230.16,241.46,224.09,242.36,
