Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 01:05:10,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:10:11,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:15:11,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:20:10,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:25:10,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:30:11,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:35:09,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:40:07,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:45:08,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:50:08,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 01:55:11,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:00:11,50.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:05:10,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:10:10,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:15:11,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:20:11,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:25:09,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:30:11,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:35:10,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:40:08,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:45:12,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:50:10,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 02:55:10,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:00:17,51.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:05:10,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:10:10,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:15:09,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:20:11,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:25:10,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:30:11,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:35:12,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:40:09,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:45:10,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:50:10,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 03:55:11,52.0,116.11,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:00:15,52.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:05:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:10:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:15:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:20:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:25:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:30:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:35:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:40:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:45:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:50:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 04:55:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:00:13,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:05:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:10:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:15:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:20:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:25:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:30:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:35:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:40:10,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:45:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:50:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 05:55:07,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:00:15,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:05:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:10:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:15:08,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:20:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:25:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:30:13,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:35:08,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:40:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:45:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:50:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 06:55:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:00:15,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:05:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:10:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:20:13,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:25:12,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:30:13,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:35:11,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:40:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:45:09,53.0,116.12,-0.95,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:50:11,53.0,116.95,-0.11,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 07:55:10,53.0,116.95,-0.11,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:00:15,53.0,116.95,-0.11,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:05:11,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:10:11,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:15:10,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:20:11,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:25:10,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:30:11,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:35:12,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:40:10,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:45:10,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:50:10,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 08:55:11,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:00:13,53.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:05:13,54.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:10:10,54.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:15:09,54.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:20:10,54.0,117.06,0.00,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:25:11,54.0,119.46,2.40,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:30:11,54.0,117.06,0.82,0.96,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:35:11,54.0,117.06,0.82,1.88,1040000.0,117.22,117.06,115.545,120.84,
01/03/2021 09:40:10,54.0,120.37,3.31,3.03,1.3,119.36,117.06,119.35,120.37,
01/03/2021 09:45:12,54.0,120.65,3.59,3.25,5.76,119.08,117.06,119.08,120.65,
01/03/2021 09:50:12,54.0,121.35,4.29,2.41,12.68,119.08,117.06,118.97,121.98,
01/03/2021 09:55:10,54.0,121.70,4.63,2.60,18.18,119.08,117.06,118.97,121.98,
01/03/2021 10:00:17,54.0,121.07,4.01,2.51,24.08,119.08,117.06,118.97,121.98,
01/03/2021 10:05:12,56.0,121.09,4.03,2.99,38.24,119.08,117.06,118.97,121.98,
01/03/2021 10:10:09,56.0,122.10,5.04,2.77,44.47,119.08,117.06,118.97,122.1,
01/03/2021 10:15:10,56.0,121.91,4.85,3.66,47.6,119.08,117.06,118.97,122.1,
01/03/2021 10:20:08,56.0,122.28,5.22,4.25,52.17,119.08,117.06,118.97,122.28,
01/03/2021 10:25:11,56.0,121.78,4.72,4.25,62.09,119.08,117.06,118.97,122.73,
01/03/2021 10:30:09,56.0,121.81,4.75,3.91,66.9,119.08,117.06,118.97,122.73,
01/03/2021 10:35:10,56.0,121.18,4.12,3.84,70.85,119.08,117.06,118.97,122.73,
01/03/2021 10:40:11,56.0,121.57,4.51,4.04,77.27,119.08,117.06,118.97,122.73,
01/03/2021 10:45:10,56.0,121.80,4.74,4.34,81.96,119.08,117.06,118.97,122.73,
01/03/2021 10:50:10,56.0,121.76,4.70,4.25,83.68,119.08,117.06,118.97,122.73,
01/03/2021 10:55:10,56.0,121.66,4.60,4.70,86.93,119.08,117.06,118.97,122.73,
01/03/2021 11:00:10,56.0,122.18,5.12,4.64,90.75,119.08,117.06,118.97,122.73,
