Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 12:05:06,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:10:07,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:15:08,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:20:06,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:25:07,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:30:07,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:35:08,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:40:05,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:45:06,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:50:06,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 12:55:08,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:00:07,52.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:05:06,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:10:06,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:15:09,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:20:07,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:25:08,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:30:07,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:35:06,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:40:06,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:45:07,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:50:07,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 13:55:06,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:00:08,55.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:05:08,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:10:09,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:15:07,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:20:07,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:25:06,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:30:09,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:35:08,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:40:08,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:45:06,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:50:09,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 14:55:06,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:00:08,56.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:05:07,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:10:07,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:15:07,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:20:10,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:25:09,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:30:09,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:35:08,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:40:06,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:45:09,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:50:07,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 15:55:07,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:00:08,57.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:05:07,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:10:07,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:15:07,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:20:08,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:25:09,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:30:06,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:35:06,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:40:08,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:45:08,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:50:08,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 16:55:06,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 17:00:08,58.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
27/02/2021 17:05:08,59.0,24.70,0.34,1.40,19370000.0,25.045,24.36,23.5,25.99,
