Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,223.0,714.40,15.56,-0.68,66010000.0,662.13,698.84,619.0,713.6099,
23/02/2021 17:35:03,223.0,714.27,15.43,-0.68,66010000.0,662.13,698.84,619.0,713.6099,
23/02/2021 17:40:03,223.0,712.75,13.91,-0.68,66040000.0,662.13,698.84,619.0,713.6099,
23/02/2021 17:45:03,223.0,713.80,14.96,-0.68,66290000.0,662.13,698.84,619.0,713.6099,
23/02/2021 17:50:04,223.0,712.53,13.68,-0.68,66310000.0,662.13,698.84,619.0,713.6099,
23/02/2021 17:55:03,223.0,714.16,15.32,-0.68,66320000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:00:03,223.0,715.15,16.31,-0.68,66330000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:05:03,236.0,715.80,16.96,-0.68,66340000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:10:03,236.0,716.05,17.21,-0.68,66350000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:15:03,236.0,716.70,17.86,-0.68,66360000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:20:03,236.0,715.00,16.16,-0.68,66370000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:25:03,236.0,715.69,16.85,-0.68,66380000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:30:03,236.0,716.29,17.45,-0.68,66390000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:35:02,236.0,716.50,17.66,-0.68,66390000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:40:03,236.0,718.87,20.03,-0.68,66410000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:45:03,236.0,718.00,19.16,-0.68,66430000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:50:03,236.0,718.86,20.02,-0.68,66430000.0,662.13,698.84,619.0,713.6099,
23/02/2021 18:55:03,236.0,718.56,19.72,-0.68,66450000.0,662.13,698.84,619.0,713.6099,
23/02/2021 19:00:03,236.0,718.70,19.86,-0.68,66470000.0,662.13,698.84,619.0,713.6099,
23/02/2021 19:05:04,242.0,719.14,20.30,-0.68,66470000.0,662.13,698.84,619.0,713.6099,
23/02/2021 19:10:03,242.0,718.25,19.41,-0.68,66480000.0,662.13,698.84,619.0,713.6099,
23/02/2021 19:15:03,242.0,719.50,20.66,-0.68,66490000.0,662.13,698.84,619.0,713.6099,
23/02/2021 19:20:03,242.0,718.50,19.66,-0.68,66500000.0,662.13,698.84,619.0,713.6099,
