Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 22:05:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:10:06,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:15:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:20:07,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:25:03,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:30:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:35:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:40:04,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:45:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:50:05,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 22:55:04,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:00:07,52.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:05:04,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:10:05,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:15:05,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:20:03,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:25:06,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:30:05,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:35:05,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:40:05,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:45:04,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:50:04,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
24/02/2021 23:55:04,57.0,132.86,0.56,5.94,12780000.0,129.51,132.30,127.68,132.38,
