Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 12:05:06,53.0,22.08,-0.04,0.74,844.45,21.65,22.12,21.35,22.085,
26/02/2021 12:10:07,53.0,22.10,-0.02,1.01,867.75,21.65,22.12,21.35,22.1007,
26/02/2021 12:15:05,53.0,22.16,0.04,1.11,875,21.65,22.12,21.35,22.17,
26/02/2021 12:20:06,53.0,22.18,0.06,1.32,895.21,21.65,22.12,21.35,22.19,
26/02/2021 12:25:06,53.0,22.15,0.02,1.19,915.09,21.65,22.12,21.35,22.19,
26/02/2021 12:30:06,53.0,22.12,0.00,0.81,933.06,21.65,22.12,21.35,22.19,
26/02/2021 12:35:06,53.0,22.16,0.04,0.77,956.77,21.65,22.12,21.35,22.2,
26/02/2021 12:40:07,53.0,22.16,0.04,0.84,971.14,21.65,22.12,21.35,22.21,
26/02/2021 12:45:07,53.0,22.17,0.05,0.93,980.84,21.65,22.12,21.35,22.21,
26/02/2021 12:50:08,53.0,22.12,0.00,0.60,997.73,21.65,22.12,21.35,22.21,
26/02/2021 12:55:07,53.0,22.17,0.05,0.72,1020000.0,21.65,22.12,21.35,22.21,
26/02/2021 13:00:09,53.0,22.06,-0.06,0.21,1030000.0,21.65,22.12,21.35,22.21,
26/02/2021 13:05:06,53.0,22.06,-0.06,0.17,1030000.0,21.65,22.12,21.35,22.21,
26/02/2021 13:10:06,53.0,22.16,0.04,0.52,1040000.0,21.65,22.12,21.35,22.21,
26/02/2021 13:15:08,53.0,22.19,0.07,0.60,1060000.0,21.65,22.12,21.35,22.21,
26/02/2021 13:20:07,53.0,22.26,0.14,0.81,1070000.0,21.65,22.12,21.35,22.26,
26/02/2021 13:25:05,53.0,22.27,0.15,0.89,1070000.0,21.65,22.12,21.35,22.28,
26/02/2021 13:30:06,53.0,22.22,0.10,1.02,1080000.0,21.65,22.12,21.35,22.28,
26/02/2021 13:35:07,53.0,22.14,0.02,0.72,1100000.0,21.65,22.12,21.35,22.28,
26/02/2021 13:40:06,53.0,22.10,-0.02,0.81,1110000.0,21.65,22.12,21.35,22.285,
26/02/2021 13:45:09,53.0,22.17,0.05,0.98,1110000.0,21.65,22.12,21.35,22.285,
26/02/2021 13:50:07,53.0,22.15,0.03,0.65,1130000.0,21.65,22.12,21.35,22.285,
26/02/2021 13:55:08,53.0,22.13,0.01,0.51,1150000.0,21.65,22.12,21.35,22.285,
