Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 09:30:05,79.0,7.36,0.01,0.14,127.43,7.01,7.35,6.92,7.49,
24/02/2021 09:35:04,79.0,7.40,0.04,0.54,1.66,7.45,7.36,7.4,7.45,
24/02/2021 09:40:04,79.0,7.36,0.00,0.00,1.86,7.45,7.36,7.36,7.45,
24/02/2021 09:45:05,79.0,7.43,0.07,0.95,4.01,7.45,7.36,7.36,7.45,
24/02/2021 09:50:06,79.0,7.36,0.00,0.00,3.25,7.45,7.36,7.35,7.45,
24/02/2021 09:55:05,79.0,7.36,0.00,0.00,3.72,7.45,7.36,7.35,7.45,
24/02/2021 10:00:07,79.0,7.36,0.00,0.00,4.72,7.45,7.36,7.35,7.45,
24/02/2021 10:05:05,82.0,7.36,0.00,0.00,3.75,7.45,7.36,7.33,7.45,
24/02/2021 10:10:06,82.0,7.40,0.04,0.54,4.25,7.45,7.36,7.33,7.45,
24/02/2021 10:15:05,82.0,7.38,0.02,0.30,4.75,7.45,7.36,7.33,7.45,
24/02/2021 10:20:05,82.0,7.38,0.02,0.30,4.76,7.45,7.36,7.33,7.45,
24/02/2021 10:25:06,82.0,7.38,0.02,0.30,5.26,7.45,7.36,7.33,7.45,
24/02/2021 10:30:06,82.0,7.38,0.02,0.30,4.77,7.45,7.36,7.33,7.45,
24/02/2021 10:35:05,82.0,7.38,0.02,0.30,4.77,7.45,7.36,7.33,7.45,
24/02/2021 10:40:05,82.0,7.40,0.04,0.59,7.76,7.45,7.36,7.33,7.45,
24/02/2021 10:46:10,82.0,7.37,0.01,0.14,7.91,7.45,7.36,7.33,7.45,
24/02/2021 10:50:06,82.0,7.37,0.01,0.14,7.91,7.45,7.36,7.33,7.45,
24/02/2021 10:54:37,82.0,7.37,0.01,0.14,11.53,7.45,7.36,7.33,7.45,
24/02/2021 10:55:04,82.0,7.37,0.01,0.14,11.53,7.45,7.36,7.33,7.45,
24/02/2021 11:00:06,82.0,7.37,0.01,0.14,8.64,7.45,7.36,7.33,7.45,
24/02/2021 11:05:05,83.0,7.37,0.01,0.14,8.66,7.45,7.36,7.33,7.45,
24/02/2021 11:10:05,83.0,7.40,0.03,0.48,8.86,7.45,7.36,7.33,7.45,
24/02/2021 11:15:05,83.0,7.39,0.03,0.41,9.69,7.45,7.36,7.33,7.45,
24/02/2021 11:20:04,83.0,7.40,0.03,0.48,9.79,7.45,7.36,7.33,7.45,
24/02/2021 11:25:05,83.0,7.40,0.04,0.48,9.99,7.45,7.36,7.33,7.45,
24/02/2021 11:30:05,83.0,7.40,0.04,0.48,10.33,7.45,7.36,7.33,7.45,
24/02/2021 11:35:04,83.0,7.40,0.04,0.54,13.88,7.45,7.36,7.33,7.45,
24/02/2021 11:40:05,83.0,7.40,0.04,0.54,16.8,7.45,7.36,7.33,7.45,
