Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 05:05:08,50.0,102.60,-1.95,-1.87,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:10:07,50.0,102.01,-2.54,-2.43,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:15:07,50.0,102.50,-2.05,-1.96,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:20:08,50.0,101.95,-2.60,-2.49,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:25:07,50.0,102.33,-2.22,-2.12,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:30:07,50.0,102.19,-2.36,-2.26,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:35:06,50.0,102.79,-1.76,-1.68,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:40:08,50.0,102.91,-1.64,-1.57,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:45:06,50.0,102.70,-1.85,-1.77,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:50:07,50.0,102.71,-1.84,-1.76,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 05:55:06,50.0,102.90,-1.65,-1.58,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:00:11,50.0,102.66,-1.89,-1.81,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:05:07,52.0,102.66,-1.89,-1.81,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:10:07,52.0,102.60,-1.95,-1.87,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:15:07,52.0,102.47,-2.08,-1.99,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:20:06,52.0,102.41,-2.14,-2.05,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:25:07,52.0,102.10,-2.45,-2.34,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:30:07,52.0,102.00,-2.55,-2.44,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:35:06,52.0,101.60,-2.95,-2.82,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:40:06,52.0,101.56,-2.99,-2.86,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:45:06,52.0,101.56,-2.99,-2.86,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:50:07,52.0,100.68,-3.87,-3.70,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 06:55:07,52.0,100.34,-4.21,-4.03,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:00:08,52.0,101.01,-3.54,-3.39,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:05:09,54.0,101.80,-2.75,-2.63,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:10:08,54.0,101.67,-2.88,-2.75,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:15:06,54.0,101.67,-2.88,-2.75,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:20:07,54.0,102.44,-2.11,-2.02,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:25:08,54.0,102.99,-1.56,-1.49,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:30:07,54.0,103.23,-1.32,-1.26,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:35:09,54.0,102.99,-1.56,-1.49,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:40:08,54.0,103.15,-1.40,-1.34,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:45:07,54.0,104.00,-0.55,-0.53,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:50:08,54.0,103.80,-0.75,-0.72,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 07:55:07,54.0,103.59,-0.96,-0.92,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:00:10,54.0,101.00,-3.55,-3.40,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:05:07,55.0,102.50,-2.05,-1.96,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:10:09,55.0,102.39,-2.16,-2.07,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:15:08,55.0,102.25,-2.30,-2.20,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:20:08,55.0,102.39,-2.16,-2.07,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:25:07,55.0,102.83,-1.72,-1.65,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:30:08,55.0,103.00,-1.55,-1.48,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:35:07,55.0,103.99,-0.56,-0.54,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:40:07,55.0,104.40,-0.15,-0.14,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:45:09,55.0,104.78,0.23,0.22,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:50:09,55.0,105.00,0.45,0.43,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 08:55:08,55.0,104.50,-0.05,-0.05,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:00:09,55.0,104.95,0.40,0.38,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:05:11,56.0,105.50,0.95,0.91,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:10:08,56.0,105.21,0.66,0.63,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:15:07,56.0,105.42,0.87,0.83,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:20:07,56.0,104.98,0.43,0.41,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:25:08,56.0,105.01,0.46,0.44,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:30:08,56.0,104.55,-5.98,-5.41,6770000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:35:08,56.0,104.07,-6.46,-5.84,6810000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:40:09,56.0,104.99,-5.54,-5.01,6840000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:45:09,56.0,105.18,-5.35,-4.84,6860000.0,109.3,104.55,102.06,110.521,
26/02/2021 09:50:07,56.0,104.22,-0.33,-0.32,580.27,103.55,104.55,103.09,106.0,
26/02/2021 09:55:07,56.0,102.77,-1.78,-1.70,724.14,103.55,104.55,102.7,106.0,
26/02/2021 10:00:09,56.0,102.59,-1.96,-1.87,835.5,103.55,104.55,101.6601,106.0,
26/02/2021 10:05:06,57.0,102.40,-2.15,-2.06,929.61,103.55,104.55,101.11,106.0,
26/02/2021 10:10:09,57.0,102.02,-2.53,-2.42,1030000.0,103.55,104.55,101.11,106.0,
26/02/2021 10:15:07,57.0,102.22,-2.33,-2.23,1180000.0,103.55,104.55,101.11,106.0,
26/02/2021 10:20:07,57.0,102.78,-1.78,-1.70,1510000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:25:09,57.0,101.87,-2.69,-2.57,1610000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:30:10,57.0,101.60,-2.95,-2.82,1750000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:35:28,57.0,101.64,-2.91,-2.78,1830000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:40:10,57.0,102.50,-2.05,-1.96,1930000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:45:08,57.0,102.80,-1.75,-1.67,2000000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:50:08,57.0,103.00,-1.55,-1.48,2090000.0,103.55,104.55,101.1,106.0,
26/02/2021 10:55:07,57.0,103.47,-1.08,-1.03,2180000.0,103.55,104.55,101.1,106.0,
26/02/2021 11:00:08,57.0,103.29,-1.26,-1.21,2230000.0,103.55,104.55,101.1,106.0,
26/02/2021 11:05:12,57.0,103.95,-0.61,-0.58,2340000.0,103.55,104.55,101.1,106.0,
26/02/2021 11:10:06,57.0,103.49,-1.06,-1.01,2460000.0,103.55,104.55,101.1,106.0,
26/02/2021 11:15:07,57.0,103.67,-0.88,-0.84,2510000.0,103.55,104.55,101.1,106.0,
