Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 17:05:05,51.0,52.61,-0.07,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:10:05,51.0,52.70,0.02,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:15:05,51.0,52.99,0.31,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:20:08,51.0,52.80,0.12,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:25:05,51.0,52.85,0.17,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:30:05,51.0,52.85,0.17,0.38,18290000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:35:12,51.0,52.85,0.17,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:40:05,51.0,52.89,0.21,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:45:04,51.0,52.89,0.21,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:50:05,51.0,52.89,0.21,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 17:55:03,51.0,52.90,0.22,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:00:03,51.0,52.91,0.23,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:05:04,53.0,53.00,0.32,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:10:04,53.0,53.00,0.32,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:15:05,53.0,53.15,0.47,0.38,18300000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:20:05,53.0,52.95,0.27,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:25:10,53.0,52.95,0.27,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:30:09,53.0,52.95,0.27,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:35:03,53.0,52.95,0.27,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:40:04,53.0,52.85,0.17,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:45:18,53.0,52.95,0.27,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:50:03,53.0,52.98,0.30,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 18:55:10,53.0,52.98,0.30,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 19:00:05,53.0,52.98,0.30,0.38,18310000.0,51.51,52.68,51.2,53.41,
26/02/2021 19:05:04,57.0,52.98,0.30,0.38,18320000.0,51.51,52.68,51.2,53.41,
26/02/2021 19:10:03,57.0,53.17,0.49,0.38,18320000.0,51.51,52.68,51.2,53.41,
26/02/2021 19:15:04,57.0,52.78,0.10,0.38,18320000.0,51.51,52.68,51.2,53.41,
26/02/2021 19:20:04,57.0,52.79,0.11,0.38,18320000.0,51.51,52.68,51.2,53.41,
