Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 14:05:04,53.0,54.35,-1.65,-2.95,16500000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:10:04,53.0,54.22,-1.78,-3.18,16670000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:15:06,53.0,54.09,-1.91,-3.41,16800000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:20:06,53.0,54.21,-1.79,-3.20,16960000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:25:05,53.0,54.21,-1.79,-3.20,17090000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:30:05,53.0,54.21,-1.80,-3.21,17240000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:35:05,53.0,54.18,-1.83,-3.26,17350000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:40:05,53.0,54.09,-1.91,-3.41,17530000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:45:04,53.0,54.07,-1.94,-3.46,17670000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:50:05,53.0,53.90,-2.11,-3.76,17810000.0,54.95,56.00,53.66,55.15,
24/02/2021 14:55:04,53.0,54.02,-1.98,-3.54,17990000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:00:06,53.0,54.06,-1.94,-3.47,18160000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:05:04,55.0,54.37,-1.63,-2.91,18420000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:10:05,55.0,54.16,-1.84,-3.29,18620000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:15:04,55.0,54.18,-1.83,-3.26,18800000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:20:04,55.0,54.13,-1.87,-3.34,19080000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:25:04,55.0,54.22,-1.79,-3.19,19300000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:30:04,55.0,54.27,-1.74,-3.10,19460000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:35:04,55.0,54.22,-1.79,-3.19,19680000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:40:04,55.0,54.27,-1.73,-3.09,19860000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:45:04,55.0,54.19,-1.81,-3.23,20030000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:50:04,55.0,54.06,-1.94,-3.46,20280000.0,54.95,56.00,53.66,55.15,
24/02/2021 15:55:05,55.0,53.95,-2.05,-3.66,20590000.0,54.95,56.00,53.66,55.15,
24/02/2021 16:00:04,55.0,53.91,0.00,0.00,21020000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:05:05,55.0,53.91,0.00,0.00,21350000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:10:05,55.0,53.95,0.04,0.07,21880000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:15:04,55.0,53.92,0.01,0.02,22800000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:20:04,55.0,54.00,0.09,0.17,22860000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:25:05,55.0,54.08,0.17,0.32,22890000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:30:05,55.0,53.95,0.04,0.07,24500000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:35:05,55.0,54.06,0.15,0.28,24520000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:40:05,55.0,54.04,0.13,0.24,24520000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:45:05,55.0,54.08,0.17,0.32,24540000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:50:05,55.0,54.05,0.14,0.26,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 16:55:05,55.0,54.09,0.18,0.33,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:00:05,55.0,54.05,0.14,0.26,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:05:03,57.0,54.00,0.09,0.17,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:10:06,57.0,54.05,0.14,0.26,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:15:04,57.0,54.04,0.13,0.24,24550000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:20:05,57.0,54.04,0.13,0.24,24560000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:25:04,57.0,54.09,0.18,0.33,24560000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:30:03,57.0,53.91,0.00,0.00,24560000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:35:06,57.0,54.40,0.49,0.91,24560000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:40:05,57.0,54.20,0.29,0.54,24570000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:45:04,57.0,54.25,0.34,0.63,24600000.0,54.95,53.91,53.66,55.15,
24/02/2021 17:50:04,57.0,54.30,0.39,0.71,24600000.0,54.95,53.91,53.66,55.15,
