Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 14:05:27,50.0,11.92,0.01,0.72,1520000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:10:10,50.0,11.92,0.01,0.72,1530000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:15:24,50.0,11.95,0.04,0.66,1550000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:20:09,50.0,11.95,0.04,0.66,1560000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:25:05,50.0,11.93,0.02,0.66,1580000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:30:12,50.0,11.93,0.02,0.72,1610000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:35:21,50.0,11.93,0.02,0.72,1640000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:40:05,50.0,11.94,0.03,0.70,1650000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:45:10,50.0,11.97,0.06,0.90,1660000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:50:13,50.0,11.96,0.05,0.78,1710000.0,12.1,11.91,11.85,12.12,
01/03/2021 14:55:16,50.0,11.96,0.04,0.96,1720000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:00:17,50.0,11.96,0.05,0.90,1740000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:05:44,50.0,11.98,0.06,0.88,1750000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:10:08,50.0,11.98,0.07,0.78,1790000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:15:07,50.0,12.00,0.08,0.78,1810000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:20:25,50.0,12.01,0.10,0.90,1860000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:25:15,50.0,12.00,0.08,0.84,1890000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:30:13,50.0,11.99,0.08,0.90,1920000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:35:15,50.0,11.99,0.07,0.90,1990000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:40:06,50.0,11.95,0.04,0.72,2020000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:45:08,50.0,11.97,0.05,0.78,2080000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:50:17,50.0,11.97,0.06,0.66,2240000.0,12.1,11.91,11.85,12.12,
01/03/2021 15:55:22,50.0,12.00,0.08,0.63,2330000.0,12.1,11.91,11.85,12.12,
01/03/2021 16:00:19,50.0,12.01,0.00,0.42,2960000.0,12.1,12.01,11.85,12.12,
01/03/2021 16:05:14,50.0,12.01,0.00,0.42,3260000.0,12.1,12.01,11.85,12.12,
01/03/2021 16:10:31,50.0,12.01,0.00,0.42,3410000.0,12.1,12.01,11.85,12.12,
01/03/2021 16:15:32,50.0,12.01,0.00,0.36,3070000.0,12.1,12.01,11.85,12.12,
