Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 10:05:04,51.0,207.86,0.90,0.36,158.42,206.35,206.96,205.47,208.3199,
24/02/2021 10:10:05,51.0,207.36,0.40,-0.01,178.5,206.35,206.96,205.47,208.3199,
24/02/2021 10:15:05,51.0,207.65,0.69,0.05,192.73,206.35,206.96,205.47,208.3199,
24/02/2021 10:20:04,51.0,208.39,1.43,0.34,212.42,206.35,206.96,205.47,208.52,
24/02/2021 10:25:05,51.0,209.13,2.17,0.69,236.28,206.35,206.96,205.47,209.13,
24/02/2021 10:30:05,51.0,208.94,1.98,0.68,247.88,206.35,206.96,205.47,209.21,
24/02/2021 10:35:05,51.0,209.29,2.32,0.84,264.73,206.35,206.96,205.47,209.43,
24/02/2021 10:40:05,51.0,208.95,1.98,0.68,285.84,206.35,206.96,205.47,209.43,
24/02/2021 10:46:15,51.0,209.50,2.54,0.92,302.45,206.35,206.96,205.47,209.595,
24/02/2021 10:50:04,51.0,209.77,2.81,0.96,318.13,206.35,206.96,205.47,209.87,
24/02/2021 10:54:36,51.0,209.75,2.79,0.93,338.79,206.35,206.96,205.47,209.93,
24/02/2021 10:55:05,51.0,209.73,2.77,0.93,337.95,206.35,206.96,205.47,209.93,
24/02/2021 11:00:05,51.0,210.42,3.46,1.08,365.92,206.35,206.96,205.47,210.5,
24/02/2021 11:05:05,51.0,210.81,3.85,1.22,392.86,206.35,206.96,205.47,210.805,
24/02/2021 11:10:05,51.0,210.82,3.86,1.27,418.52,206.35,206.96,205.47,210.98,
24/02/2021 11:15:05,51.0,210.36,3.40,1.11,445.68,206.35,206.96,205.47,210.98,
24/02/2021 11:20:05,51.0,210.45,3.49,1.17,475.2,206.35,206.96,205.47,210.98,
24/02/2021 11:25:05,51.0,210.60,3.64,1.32,489.8,206.35,206.96,205.47,210.98,
24/02/2021 11:30:05,51.0,210.50,3.54,1.25,511.08,206.35,206.96,205.47,210.98,
24/02/2021 11:35:05,51.0,210.28,3.32,1.29,525.75,206.35,206.96,205.47,210.98,
24/02/2021 11:40:05,51.0,210.43,3.47,1.44,546.12,206.35,206.96,205.47,210.98,
24/02/2021 11:45:05,51.0,210.87,3.91,1.31,570.17,206.35,206.96,205.47,210.98,
24/02/2021 11:50:05,51.0,210.92,3.96,1.46,585.73,206.35,206.96,205.47,211.32,
24/02/2021 11:55:05,51.0,211.08,4.12,1.46,608.14,206.35,206.96,205.47,211.32,
24/02/2021 12:00:06,51.0,210.82,3.86,1.47,635.23,206.35,206.96,205.47,211.32,
24/02/2021 12:05:06,51.0,210.85,3.89,1.51,657.15,206.35,206.96,205.47,211.32,
24/02/2021 12:10:06,51.0,210.60,3.64,1.46,690.89,206.35,206.96,205.47,211.32,
24/02/2021 12:15:05,51.0,210.83,3.87,1.49,708.65,206.35,206.96,205.47,211.32,
24/02/2021 12:20:04,51.0,211.01,4.05,1.58,730.63,206.35,206.96,205.47,211.32,
24/02/2021 12:25:06,51.0,210.84,3.88,1.61,765.19,206.35,206.96,205.47,211.32,
24/02/2021 12:30:04,51.0,211.06,4.10,1.70,794.19,206.35,206.96,205.47,211.32,
24/02/2021 12:35:05,51.0,211.48,4.52,1.98,820.18,206.35,206.96,205.47,211.58,
24/02/2021 12:40:05,51.0,211.68,4.72,2.05,836.56,206.35,206.96,205.47,211.68,
24/02/2021 12:45:05,51.0,211.39,4.43,1.93,856.25,206.35,206.96,205.47,211.68,
24/02/2021 12:50:06,51.0,211.11,4.15,1.78,880.17,206.35,206.96,205.47,211.68,
24/02/2021 12:55:05,51.0,211.51,4.55,1.95,890,206.35,206.96,205.47,211.68,
24/02/2021 13:00:05,51.0,211.28,4.32,1.83,903.15,206.35,206.96,205.47,211.7,
24/02/2021 13:05:06,51.0,211.35,4.39,1.89,915.36,206.35,206.96,205.47,211.7,
24/02/2021 13:10:05,51.0,211.53,4.57,1.83,928.88,206.35,206.96,205.47,211.7,
24/02/2021 13:15:05,51.0,211.79,4.83,1.89,953.02,206.35,206.96,205.47,211.82,
24/02/2021 13:20:06,51.0,212.00,5.04,1.90,969.92,206.35,206.96,205.47,212.03,
24/02/2021 13:25:05,51.0,211.83,4.87,1.94,984.11,206.35,206.96,205.47,212.03,
24/02/2021 13:30:05,51.0,211.96,5.00,2.07,1010000.0,206.35,206.96,205.47,212.03,
24/02/2021 13:35:05,51.0,212.05,5.09,2.06,1030000.0,206.35,206.96,205.47,212.05,
24/02/2021 13:40:06,51.0,212.25,5.29,2.17,1050000.0,206.35,206.96,205.47,212.25,
24/02/2021 13:45:05,51.0,212.23,5.27,2.12,1060000.0,206.35,206.96,205.47,212.35,
24/02/2021 13:50:05,51.0,212.13,5.17,2.02,1080000.0,206.35,206.96,205.47,212.35,
24/02/2021 13:55:05,51.0,212.35,5.39,2.16,1100000.0,206.35,206.96,205.47,212.35,
24/02/2021 14:00:06,51.0,212.50,5.54,2.31,1120000.0,206.35,206.96,205.47,212.61,
24/02/2021 14:05:04,51.0,212.64,5.68,2.18,1130000.0,206.35,206.96,205.47,212.95,
24/02/2021 14:10:05,51.0,212.34,5.38,2.17,1150000.0,206.35,206.96,205.47,212.95,
24/02/2021 14:15:06,51.0,212.10,5.14,2.08,1170000.0,206.35,206.96,205.47,212.95,
24/02/2021 14:20:06,51.0,211.92,4.96,2.11,1190000.0,206.35,206.96,205.47,212.95,
