Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 04:05:03,50.0,10.10,0.48,4.99,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:10:07,50.0,10.01,0.39,4.05,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:15:07,50.0,10.02,0.40,4.16,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:20:06,50.0,9.94,0.32,3.33,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:25:03,50.0,9.96,0.34,3.53,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:30:17,50.0,9.95,0.33,3.43,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:35:03,50.0,9.70,0.08,0.83,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:40:02,50.0,9.65,0.03,0.31,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:45:05,50.0,9.60,-0.02,-0.21,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:50:04,50.0,9.22,-0.40,-4.16,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 04:55:03,50.0,9.32,-0.30,-3.12,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:00:12,50.0,9.16,-0.46,-4.78,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:05:02,60.0,9.18,-0.44,-4.57,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:10:03,60.0,9.22,-0.40,-4.16,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:15:06,60.0,9.44,-0.18,-1.87,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:20:04,60.0,9.40,-0.22,-2.29,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:25:03,60.0,9.40,-0.22,-2.29,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:30:06,60.0,9.42,-0.20,-2.08,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:35:06,60.0,9.44,-0.18,-1.87,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:40:04,60.0,9.42,-0.20,-2.08,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:45:04,60.0,9.40,-0.22,-2.29,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:50:04,60.0,9.20,-0.42,-4.37,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 05:55:02,60.0,9.20,-0.42,-4.37,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 06:00:16,60.0,9.22,-0.40,-4.16,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 06:05:03,70.0,9.21,-0.41,-4.26,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 06:10:03,70.0,9.28,-0.34,-3.53,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 06:15:05,70.0,9.28,-0.34,-3.53,94550000.0,12.17,9.62,9.32,12.45,
04/03/2021 06:20:04,70.0,9.26,-0.36,-3.74,94550000.0,12.17,9.62,9.32,12.45,
