Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 18:05:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:10:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:15:06,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:20:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:25:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:30:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:35:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:40:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:45:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:50:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 18:55:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:00:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:05:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:10:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:15:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:20:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:25:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:30:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:35:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:40:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:45:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:50:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 19:55:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:00:12,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:05:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:10:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:15:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:20:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:25:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:30:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:35:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:40:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:45:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:50:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 20:55:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:00:11,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:05:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:10:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:15:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:20:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:25:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:30:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:35:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:40:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:45:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:50:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 21:55:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:00:12,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:05:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:10:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:15:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:20:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:25:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:30:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:35:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:40:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:45:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:50:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 22:55:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:00:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:05:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:10:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:15:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:20:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:25:07,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:30:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:35:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:40:09,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:45:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:50:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
27/02/2021 23:55:08,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:00:10,50.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:05:08,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:10:06,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:15:08,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:20:08,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:25:07,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:30:08,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:35:07,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:40:10,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:45:08,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:50:07,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 00:55:07,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:00:11,51.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:05:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:10:07,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:15:07,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:20:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:25:07,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:30:07,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:35:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:40:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:45:07,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:50:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 01:55:08,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:00:12,52.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:05:06,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:10:09,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:15:09,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:20:06,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:25:07,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:30:09,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:35:07,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:40:08,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:45:08,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:50:08,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 02:55:08,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:00:09,53.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:05:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:10:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:15:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:20:09,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:25:09,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:30:08,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:35:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:40:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:45:06,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:50:09,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 03:55:07,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:00:12,54.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:05:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:10:06,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:15:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:20:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:25:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:30:08,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:35:08,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:40:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:45:09,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:50:06,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 04:55:07,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:00:11,55.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:05:07,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:10:09,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:15:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:20:09,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:25:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:30:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:35:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:40:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:45:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:50:08,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 05:55:07,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:00:09,56.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:05:08,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:10:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:15:08,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:20:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:25:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:30:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:35:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:40:09,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:45:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:50:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 06:55:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:00:07,57.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:05:10,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:10:08,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:15:08,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:20:07,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:25:09,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:30:08,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:35:07,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:40:07,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:45:11,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:50:08,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 07:55:08,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:00:10,58.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:05:09,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:10:10,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:15:09,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:20:08,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:25:10,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:30:10,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:35:10,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:40:08,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:45:10,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:50:11,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 08:55:08,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:00:12,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:05:11,59.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:10:09,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:15:07,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:20:09,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:25:10,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:30:09,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:35:11,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
28/02/2021 09:40:10,61.0,212.38,-0.01,-0.20,11730000.0,214.05,212.39,210.74,215.21,
