Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 03:05:05,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:10:05,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:15:06,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:20:06,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:25:05,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:30:05,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:35:06,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:40:04,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:45:03,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:50:04,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 03:55:05,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:00:06,50.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:05:05,51.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:10:06,51.0,258.35,0.22,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:15:06,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:20:05,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:25:06,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:30:05,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:35:04,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:40:06,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:45:04,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:50:04,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 04:55:04,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:00:06,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:05:07,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:10:07,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:15:07,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:20:04,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:25:05,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:30:05,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:35:05,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:40:06,51.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:45:06,51.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:50:04,51.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 05:55:04,51.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:00:06,51.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:05:04,52.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:10:04,52.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:15:06,52.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:20:05,52.0,259.99,1.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:25:05,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:30:07,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:35:06,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:40:06,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:45:05,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:50:06,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 06:55:06,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:00:06,52.0,260.00,1.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:05:06,53.0,231.92,-26.21,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:10:06,53.0,237.75,-20.38,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:15:06,53.0,237.18,-20.95,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:20:06,53.0,237.31,-20.82,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:25:06,53.0,238.50,-19.63,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:30:05,53.0,242.90,-15.23,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:35:05,53.0,238.29,-19.84,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:40:05,53.0,238.00,-20.13,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:45:06,53.0,239.00,-19.13,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:50:06,53.0,240.00,-18.13,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 07:55:07,53.0,238.00,-20.13,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:00:08,53.0,235.01,-23.12,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:05:06,54.0,243.98,-14.15,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:10:06,54.0,253.50,-4.63,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:15:04,54.0,255.00,-3.13,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:20:06,54.0,255.01,-3.12,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:25:06,54.0,262.04,3.91,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:30:06,54.0,277.00,18.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:35:05,54.0,266.27,8.14,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:40:05,54.0,261.00,2.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:45:06,54.0,261.00,2.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:50:05,54.0,264.20,6.07,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 08:55:06,54.0,267.00,8.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:00:06,54.0,269.30,11.17,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:05:05,56.0,271.69,13.56,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:10:06,56.0,271.99,13.86,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:15:05,56.0,271.00,12.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:20:06,56.0,271.00,12.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:25:05,56.0,269.00,10.87,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:30:06,56.0,258.13,-4.77,-0.12,1720000.0,264.0,258.13,251.24,264.38,
25/02/2021 09:35:05,56.0,266.30,3.40,0.24,1780000.0,264.0,258.13,251.24,268.8228,
25/02/2021 09:40:08,56.0,289.44,26.54,-0.24,2090000.0,264.0,258.13,251.24,291.61,
25/02/2021 09:45:06,56.0,291.91,29.01,-0.73,827.59,264.0,258.13,251.24,292.47,
25/02/2021 09:50:05,56.0,290.22,32.09,-0.86,1100000.0,266.02,258.13,261.26,299.424,
25/02/2021 09:55:07,56.0,279.82,21.69,-1.84,1460000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:00:05,56.0,277.08,18.95,-1.10,1700000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:05:08,56.0,280.00,21.87,-1.84,1990000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:10:05,56.0,280.60,22.47,-2.02,2140000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:15:06,56.0,274.01,15.88,-2.08,2300000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:20:05,56.0,274.00,15.87,-1.59,2490000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:25:07,56.0,274.81,16.68,-0.73,2610000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:30:05,56.0,270.24,12.11,-1.22,2780000.0,266.02,258.13,261.26,299.424,
25/02/2021 10:35:07,56.0,269.10,10.97,-1.71,2900000.0,266.02,258.13,261.26,299.424,
