Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 17:35:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 17:40:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 17:45:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 17:50:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 17:55:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:00:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:05:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:10:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:15:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:20:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:25:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:30:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:35:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:40:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:45:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:50:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 18:55:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:00:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:05:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:10:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:15:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:20:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:25:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:30:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:35:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:40:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:45:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:50:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 19:55:03,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:00:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:05:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:10:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:15:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:20:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:25:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:30:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:35:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:40:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:45:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
23/02/2021 20:50:04,54.0,48.18,0.00,1.28,102.17,48.25,48.18,47.92,50.78,
