Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 07:05:05,50.0,21.74,0.57,2.69,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:10:04,50.0,22.02,0.85,4.02,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:15:05,50.0,22.28,1.11,5.24,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:20:05,50.0,22.11,0.94,4.44,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:25:06,50.0,22.18,1.01,4.77,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:30:05,50.0,22.27,1.10,5.20,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:35:06,50.0,22.31,1.14,5.38,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:40:05,50.0,22.28,1.11,5.24,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:45:05,50.0,22.24,1.07,5.05,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:50:05,50.0,22.24,1.07,5.05,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 07:55:05,50.0,22.11,0.94,4.44,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:00:07,50.0,22.31,1.14,5.38,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:05:05,51.0,22.11,0.94,4.44,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:10:05,51.0,22.12,0.95,4.49,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:15:05,51.0,22.14,0.97,4.58,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:20:05,51.0,21.93,0.76,3.59,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:25:04,51.0,22.02,0.85,4.02,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:30:06,51.0,22.00,0.83,3.92,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:35:05,51.0,22.00,0.83,3.92,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:40:05,51.0,21.84,0.67,3.16,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:45:05,51.0,21.80,0.63,2.98,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:50:05,51.0,21.80,0.63,2.98,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 08:55:04,51.0,21.60,0.43,2.03,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:00:06,51.0,21.55,0.38,1.79,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:05:06,53.0,21.56,0.39,1.84,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:10:05,53.0,21.72,0.55,2.60,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:15:04,53.0,21.60,0.43,2.03,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:20:05,53.0,21.72,0.55,2.60,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:25:06,53.0,21.70,0.53,2.50,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:30:06,53.0,21.17,-0.84,-3.82,4410000.0,21.01,21.17,19.77,21.35,
24/02/2021 09:35:05,53.0,21.39,0.22,1.04,395.16,21.36,21.17,20.87,21.39,
24/02/2021 09:40:07,53.0,21.00,-0.17,-0.80,527.57,21.36,21.17,20.78,21.39,
24/02/2021 09:45:05,53.0,20.83,-0.34,-1.61,873.76,21.36,21.17,20.76,21.39,
24/02/2021 09:50:05,53.0,21.11,-0.06,-0.28,763.18,21.36,21.17,20.76,21.39,
24/02/2021 09:55:05,53.0,20.83,-0.34,-1.61,845.32,21.36,21.17,20.65,21.39,
24/02/2021 10:00:06,53.0,20.56,-0.61,-2.88,943.59,21.36,21.17,20.55,21.39,
24/02/2021 10:05:04,55.0,20.46,-0.71,-3.35,1030000.0,21.36,21.17,20.4,21.39,
24/02/2021 10:10:06,55.0,20.39,-0.78,-3.68,1100000.0,21.36,21.17,20.3,21.39,
24/02/2021 10:15:05,55.0,20.32,-0.85,-4.02,1180000.0,21.36,21.17,20.3,21.39,
24/02/2021 10:20:05,55.0,20.47,-0.70,-3.31,1250000.0,21.36,21.17,20.3,21.39,
24/02/2021 10:25:06,55.0,20.50,-0.67,-3.16,1330000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:30:05,55.0,20.52,-0.66,-3.09,1370000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:35:05,55.0,20.54,-0.63,-2.98,1450000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:40:05,55.0,20.54,-0.63,-3.00,1510000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:46:18,55.0,20.43,-0.74,-3.50,1590000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:50:05,55.0,20.53,-0.64,-3.02,1640000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:54:37,55.0,20.51,-0.66,-3.14,1680000.0,21.36,21.17,20.28,21.39,
24/02/2021 10:55:05,55.0,20.50,-0.67,-3.16,1680000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:00:06,55.0,20.53,-0.64,-3.02,1720000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:05:05,56.0,20.55,-0.62,-2.93,1760000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:10:04,56.0,20.56,-0.61,-2.90,1820000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:15:05,56.0,20.55,-0.62,-2.93,1870000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:20:05,56.0,20.66,-0.51,-2.41,1920000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:25:03,56.0,20.53,-0.64,-3.02,1970000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:30:05,56.0,20.52,-0.65,-3.07,2030000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:35:04,56.0,20.52,-0.65,-3.07,2100000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:40:04,56.0,20.52,-0.66,-3.09,2140000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:45:05,56.0,20.40,-0.77,-3.63,2220000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:50:04,56.0,20.54,-0.63,-2.98,2290000.0,21.36,21.17,20.28,21.39,
24/02/2021 11:55:04,56.0,20.56,-0.61,-2.88,2330000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:00:05,56.0,20.54,-0.63,-2.98,2380000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:05:05,57.0,20.54,-0.63,-2.98,2450000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:10:05,57.0,20.51,-0.66,-3.14,2480000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:15:05,57.0,20.78,-0.39,-1.84,2530000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:20:04,57.0,20.86,-0.31,-1.46,2640000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:25:04,57.0,20.86,-0.31,-1.49,2700000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:30:05,57.0,20.75,-0.42,-1.98,2760000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:35:05,57.0,20.72,-0.45,-2.13,2840000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:40:04,57.0,20.86,-0.31,-1.46,2920000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:45:04,57.0,20.83,-0.34,-1.61,2980000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:50:05,57.0,20.80,-0.37,-1.75,3010000.0,21.36,21.17,20.28,21.39,
24/02/2021 12:55:04,57.0,20.75,-0.42,-2.01,3080000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:00:05,57.0,20.62,-0.55,-2.60,3130000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:05:05,58.0,20.58,-0.59,-2.80,3170000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:10:04,58.0,20.55,-0.63,-2.95,3210000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:15:04,58.0,20.60,-0.57,-2.69,3260000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:20:04,58.0,20.62,-0.55,-2.60,3300000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:25:05,58.0,20.58,-0.59,-2.79,3330000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:30:04,58.0,20.50,-0.67,-3.16,3370000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:35:04,58.0,20.52,-0.66,-3.09,3450000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:40:04,58.0,20.55,-0.62,-2.93,3470000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:45:05,58.0,20.58,-0.59,-2.81,3490000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:50:04,58.0,20.57,-0.60,-2.83,3550000.0,21.36,21.17,20.28,21.39,
24/02/2021 13:55:05,58.0,20.53,-0.64,-3.02,3560000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:00:06,58.0,20.51,-0.66,-3.14,3590000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:05:04,60.0,20.50,-0.67,-3.16,3600000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:10:04,60.0,20.40,-0.77,-3.64,3660000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:15:05,60.0,20.41,-0.76,-3.59,3710000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:20:05,60.0,20.37,-0.80,-3.78,3740000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:25:04,60.0,20.33,-0.85,-3.99,3800000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:30:05,60.0,20.32,-0.85,-4.02,3830000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:35:04,60.0,20.30,-0.87,-4.11,3870000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:40:05,60.0,20.31,-0.86,-4.07,3910000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:45:05,60.0,20.31,-0.87,-4.09,3970000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:50:04,60.0,20.31,-0.87,-4.09,4060000.0,21.36,21.17,20.28,21.39,
24/02/2021 14:55:05,60.0,20.31,-0.87,-4.09,4130000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:00:05,60.0,20.33,-0.84,-3.99,4220000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:05:05,64.0,20.44,-0.73,-3.45,4370000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:10:05,64.0,20.38,-0.79,-3.72,4410000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:15:05,64.0,20.38,-0.79,-3.76,4480000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:20:06,64.0,20.37,-0.81,-3.80,4520000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:25:05,64.0,20.35,-0.82,-3.87,4550000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:30:05,64.0,20.33,-0.84,-3.97,4590000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:35:04,64.0,20.38,-0.79,-3.76,4640000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:40:04,64.0,20.38,-0.79,-3.73,4740000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:50:04,64.0,20.37,-0.81,-3.80,4890000.0,21.36,21.17,20.28,21.39,
24/02/2021 15:55:05,64.0,20.43,-0.74,-3.51,5020000.0,21.36,21.17,20.28,21.39,
24/02/2021 16:05:05,64.0,20.42,0.00,0.00,5290000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:10:05,64.0,20.42,0.00,0.00,5430000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:15:05,64.0,20.48,0.06,0.29,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:20:05,64.0,20.46,0.04,0.20,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:25:05,64.0,20.50,0.08,0.39,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:30:05,64.0,20.52,0.10,0.49,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:35:05,64.0,20.50,0.08,0.39,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:40:05,64.0,20.50,0.08,0.39,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:45:05,64.0,20.46,0.04,0.20,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:50:05,64.0,20.45,0.03,0.15,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 16:55:05,64.0,20.41,-0.01,-0.05,5280000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:00:06,64.0,20.40,-0.02,-0.10,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:05:05,67.0,20.42,0.00,0.00,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:10:05,67.0,20.36,-0.06,-0.29,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:15:05,67.0,20.36,-0.06,-0.29,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:20:06,67.0,20.45,0.03,0.15,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:25:05,67.0,20.45,0.03,0.15,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:30:06,67.0,20.45,0.03,0.15,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:35:05,67.0,20.42,0.00,0.00,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:40:05,67.0,20.45,0.03,0.15,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:45:05,67.0,20.45,0.03,0.15,5300000.0,21.36,20.42,20.28,21.39,
24/02/2021 17:50:05,67.0,20.46,0.04,0.20,5300000.0,21.36,20.42,20.28,21.39,
