Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 22:05:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:10:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:15:05,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:20:03,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:25:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:30:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:35:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:40:03,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:45:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:50:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 22:55:04,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:00:03,51.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:05:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:10:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:15:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:20:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:25:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:30:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:35:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:40:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:45:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
23/02/2021 23:50:04,54.0,15.07,-1.40,-1.43,78060000.0,28.29,16.47,12.5,28.6074,
