Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 13:05:06,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:10:06,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:15:08,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:20:08,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:25:08,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:30:09,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:35:05,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:40:08,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:45:09,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:50:08,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 13:55:06,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:00:10,50.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:05:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:10:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:15:06,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:20:09,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:25:06,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:30:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:35:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:45:09,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:50:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 14:55:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:00:08,51.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:05:09,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:10:09,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:15:06,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:20:08,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:25:08,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:30:10,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:35:07,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:40:08,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:45:06,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:50:08,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 15:55:08,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:00:11,52.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:05:09,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:10:08,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:15:07,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:20:09,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:25:08,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:30:08,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:35:08,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:40:09,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:45:07,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:50:07,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 16:55:07,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:00:10,53.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:05:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:10:10,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:15:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:20:07,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:25:07,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:30:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:35:09,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:40:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:45:09,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:50:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 17:55:08,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:00:10,54.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:05:11,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:10:10,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:15:08,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:20:08,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:25:07,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:30:07,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:35:09,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:40:10,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:45:09,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:50:06,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 18:55:09,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:00:10,55.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:05:10,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:10:09,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:15:07,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:20:09,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:25:09,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:30:09,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:35:06,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:40:07,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:45:08,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:50:07,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 19:55:09,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:00:12,56.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:05:09,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:10:08,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:15:07,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:20:09,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:25:08,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:30:07,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:35:08,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:40:10,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:45:06,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:50:08,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 20:55:07,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
27/02/2021 21:00:09,57.0,130.04,0.12,1.49,14160000.0,131.48,129.92,129.86,131.81,
