Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 05:05:07,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:10:08,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:15:07,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:20:09,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:25:07,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:30:10,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:35:09,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:40:10,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:45:08,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 05:50:07,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:00:07,50.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:05:07,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:10:08,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:15:08,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:20:09,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:25:10,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:30:08,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:35:10,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:40:09,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:45:08,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:50:10,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 06:55:09,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:00:13,51.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:05:08,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:10:11,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:15:09,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:20:09,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:25:12,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:30:09,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:35:11,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:40:10,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:45:07,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:50:08,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 07:55:10,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:00:10,52.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:05:11,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:10:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:15:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:20:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:25:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:30:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:35:10,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:40:08,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:45:09,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:50:11,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
04/03/2021 08:55:06,53.0,15.85,0.00,-2.61,604.96,15.88,15.85,15.7,16.265,
