Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 04:05:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:10:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:15:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:20:03,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:25:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:30:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:35:05,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:40:05,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:45:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:50:05,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 04:55:04,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:00:05,54.0,169.40,0.53,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:05:04,58.0,169.50,0.63,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:10:04,58.0,169.50,0.63,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:15:05,58.0,169.50,0.63,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:20:04,58.0,169.51,0.64,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:25:04,58.0,170.00,1.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:30:04,58.0,170.00,1.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:35:04,58.0,170.00,1.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:40:05,58.0,171.92,3.05,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:45:05,58.0,171.92,3.05,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:50:04,58.0,171.91,3.04,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 05:55:05,58.0,171.59,2.72,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:00:05,58.0,171.19,2.32,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:05:05,58.0,171.49,2.62,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:10:04,58.0,171.49,2.62,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:15:05,58.0,171.93,3.06,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:20:05,58.0,171.00,2.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:25:05,58.0,171.00,2.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:30:04,58.0,171.00,2.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:35:05,58.0,171.00,2.13,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:40:05,58.0,171.91,3.04,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:45:04,58.0,171.91,3.04,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:50:05,58.0,171.80,2.93,-0.45,4790000.0,160.5,168.87,152.0,171.16,
24/02/2021 06:55:04,58.0,171.80,2.93,-0.45,4790000.0,160.5,168.87,152.0,171.16,
