Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 08:05:11,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:10:07,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:15:08,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:20:06,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:25:07,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:30:07,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:35:10,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:40:10,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:45:06,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:50:07,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 08:55:07,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:00:10,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:05:12,50.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:10:09,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:15:08,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:20:10,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:25:07,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:30:11,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:35:07,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
28/02/2021 09:40:09,51.0,376.92,3.31,0.89,4700000.0,367.95,373.61,356.1709,377.094,
