Date,14/03 16:38,14/03 16:36,14/03 16:35,14/03 16:33
eric,3.0,3.0,,
uwmc,72.0,72.0,,
rkt,191.0,191.0,,
band,14.0,14.0,,
viac,26.0,26.0,,
codx,42.0,42.0,,
land,19.0,19.0,,
ccs,28.0,28.0,,
mac,9.0,9.0,,
rare,28.0,28.0,,
lmnd,4.0,4.0,,
dd,352.0,352.0,,
pro,47.0,47.0,,
apr,5.0,5.0,,
loan,37.0,37.0,,
lee,8.0,8.0,,
ceo,91.0,91.0,,
team,57.0,57.0,,
tho,20.0,20.0,,
wish,47.0,47.0,,
jpm,27.0,27.0,,
bac,20.0,20.0,,
wfc,14.0,14.0,,
site,64.0,64.0,,
gme,991.0,991.0,,
ai,33.0,33.0,,
info,131.0,131.0,,
ath,62.0,62.0,,
amc,262.0,262.0,,
ear,8.0,8.0,,
j,11.0,11.0,,
m,27.0,27.0,,
ibkr,31.0,31.0,,
cd,7.0,7.0,,
wash,62.0,62.0,,
abc,10.0,10.0,,
kids,28.0,28.0,,
apha,54.0,54.0,,
clov,14.0,14.0,,
sos,93.0,93.0,,
mvis,26.0,26.0,,
jcom,2.0,2.0,,
acc,4.0,4.0,,
td,146.0,146.0,,
ride,97.0,97.0,,
crwd,14.0,14.0,,
ramp,11.0,11.0,,
eyes,29.0,29.0,,
dds,48.0,48.0,,
race,42.0,42.0,,
amcx,30.0,30.0,,
ba,50.0,50.0,,
rh,107.0,107.0,,
amd,118.0,118.0,,
ge,167.0,167.0,,
fold,22.0,22.0,,
xom,39.0,39.0,,
six,30.0,30.0,,
z,179.0,179.0,,
nio,231.0,231.0,,
net,173.0,173.0,,
cc,180.0,180.0,,
leg,169.0,169.0,,
leap,155.0,155.0,,
ulta,76.0,76.0,,
pltr,106.0,106.0,,
dte,115.0,115.0,,
ev,160.0,160.0,,
tsla,200.0,200.0,,
mar,127.0,127.0,,
exp,125.0,125.0,,
plus,135.0,135.0,,
msft,98.0,98.0,,
live,62.0,62.0,,
aapl,148.0,148.0,,
fast,105.0,105.0,,
fdx,36.0,36.0,,
penn,45.0,45.0,,
shop,141.0,141.0,,
rblx,65.0,65.0,,
ll,41.0,41.0,,
uk,60.0,60.0,,
edit,43.0,43.0,,
hp,21.0,21.0,,
f,40.0,40.0,,
c,32.0,32.0,,
agc,24.0,24.0,,
bc,26.0,26.0,,
fsr,27.0,27.0,,
air,19.0,19.0,,
roku,38.0,38.0,,
asrt,20.0,20.0,,
tr,27.0,27.0,,
ebay,41.0,41.0,,
wpg,18.0,18.0,,
goev,32.0,32.0,,
v,36.0,36.0,,
jd,21.0,21.0,,
mstr,18.0,18.0,,
snap,48.0,48.0,,
gold,115.0,115.0,115.0,
onto,41.0,41.0,,
turn,79.0,79.0,,
imo,36.0,36.0,,
salt,19.0,19.0,,
rsi,43.0,43.0,,
sndl,30.0,30.0,30.0,
dpz,4.0,4.0,,
alo,4.0,4.0,,
yoga,4.0,4.0,,
nvda,31.0,31.0,,
avgo,4.0,4.0,,
qcom,21.0,21.0,,
cvs,12.0,12.0,,
aal,25.0,25.0,,
wti,12.0,12.0,,
wmt,35.0,35.0,,
nvax,12.0,12.0,,
aezs,12.0,12.0,,
kmi,12.0,12.0,,
dnn,12.0,12.0,,
cciv,35.0,35.0,,
ipof,25.0,25.0,,
srne,9.0,9.0,,
rose,28.0,28.0,,
fcel,14.0,14.0,,
sol,12.0,12.0,,
step,27.0,27.0,,
sp,41.0,41.0,,
w,42.0,42.0,,
wrap,23.0,23.0,,
uber,12.0,12.0,,
cgc,12.0,12.0,,
ins,12.0,12.0,,
peak,36.0,36.0,,
ma,50.0,50.0,,
xone,12.0,12.0,,
fprx,12.0,12.0,,
li,20.0,20.0,,
oi,21.0,21.0,,
hims,12.0,12.0,,
nke,6.0,6.0,,
bili,6.0,6.0,,
cx,2.0,2.0,,
aso,16.0,16.0,,
apex,4.0,4.0,,
clne,8.0,8.0,,
psa,6.0,6.0,,
dash,34.0,34.0,,
cent,20.0,20.0,,
cffn,6.0,6.0,,
club,11.0,11.0,,
expr,6.0,6.0,,
trip,21.0,21.0,,
rig,23.0,23.0,,
ame,6.0,6.0,,
pure,20.0,20.0,,
psx,8.0,8.0,,
nov,13.0,13.0,,
sens,12.0,12.0,,
jnj,13.0,13.0,,
irs,10.0,10.0,,
ocgn,3.0,3.0,,
pe,29.0,29.0,,
esp,3.0,3.0,,
bite,3.0,3.0,,
ofc,5.0,5.0,,
