Stock,Count,Price,Points,Percentage
eyes,18.0,14.81,3.61,32.23
mvis,19.0,17.85,3.02,20.36
bb,43.0,11.91,1.22,11.41
amc,150.0,11.34,1.1,10.74
dan,20.0,28.0,2.0,7.69
leap,101.0,13.15,0.75,6.05
cc,94.0,28.99,1.61,5.88
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
f,32.0,13.35,0.56,4.38
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
live,33.0,26.44,0.96,3.77
ship,22.0,1.29,0.04,3.2
ship,22.0,1.29,0.04,3.2
ge,108.0,12.64,0.38,3.1
nok,33.0,4.21,0.1,2.56
rsi,33.0,19.15,0.44,2.35
aim,17.0,2.27,0.05,2.26
wrap,18.0,5.93,0.13,2.24
peak,30.0,31.76,0.66,2.12
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
goev,26.0,14.93,0.26,1.77
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
loan,22.0,5.6,0.09,1.63
pltr,67.0,27.05,0.34,1.27
ta,24.0,27.13,0.18,0.67
ta,24.0,27.13,0.18,0.67
oi,15.0,12.87,0.07,0.55
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
apha,38.0,19.95,0.09,0.45
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
rig,21.0,4.57,0.02,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
gold,84.0,20.38,0.09,0.44
rig,21.0,4.57,0.02,0.44
imo,27.0,0.0,0.0,0.0
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
sp,35.0,35.95,-0.01,-0.03
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
ll,29.0,26.06,-0.02,-0.06
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
sos,85.0,6.52,-0.01,-0.15
turn,50.0,7.28,-0.05,-0.68
sndl,21.0,1.41,-0.01,-0.7
li,16.0,25.7,-0.32,-1.23
wish,22.0,18.8,-0.31,-1.62
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
ford,56.0,3.47,-0.08,-2.25
step,20.0,30.47,-0.82,-2.62
step,20.0,30.47,-0.82,-2.62
uk,42.0,3.21,-0.09,-2.73
tlry,53.0,27.4,-0.8,-2.82
uwmc,49.0,8.38,-0.27,-3.12
ride,71.0,15.2,-2.51,-14.17
