Stock,Count,Price,Points,Percentage
fast,64.0,47.77,-0.36,-0.75
form,33.0,46.63,-0.41,-0.87
road,31.0,32.39,-0.04,-0.12
ta,41.0,27.73,0.19,0.69
tlry,51.0,27.0,-0.05,-0.18
live,53.0,25.8,0.33,1.3
rkt,89.0,25.09,-0.03,-0.12
sumo,58.0,20.81,-0.1,-0.48
gold,143.0,20.78,-0.01,-0.05
rsi,32.0,20.7,0.21,1.02
apha,49.0,20.2,-0.14,-0.69
ride,63.0,15.24,0.09,0.59
ge,51.0,13.17,-0.15,-1.13
amc,213.0,13.01,-1.01,-7.2
rev,36.0,12.81,0.08,0.63
uwmc,60.0,8.45,0.02,0.24
turn,59.0,7.48,-0.02,-0.27
sos,90.0,7.15,-0.12,-1.65
ogi,30.0,4.11,-0.02,-0.48
ford,125.0,3.37,0.01,0.3
uk,48.0,3.23,-0.02,-0.62
ev,85.0,0.0,0.0,0.0
