Date,16/03/2021,15/03/2021
gme,514.0,1374.0
gold,181.0,123.0
dd,333.0,768.0
amc,242.0,424.0
sos,110.0,98.0
ford,216.0,113.0
ev,159.0,189.0
nio,165.0,235.0
bill,117.0,107.0
ceo,143.0,136.0
uwmc,105.0,86.0
z,66.0,195.0
dow,108.0,45.0
rkt,96.0,294.0
sumo,67.0,48.0
rad,34.0,10.0
ge,159.0,184.0
qd,21.0,7.0
fast,100.0,199.0
net,84.0,226.0
ogi,36.0,6.0
fold,31.0,25.0
uk,49.0,79.0
gau,32.0,18.0
ai,52.0,53.0
viac,25.0,26.0
step,32.0,39.0
shop,84.0,205.0
aapl,71.0,208.0
rose,34.0,34.0
ride,65.0,154.0
bynd,32.0,24.0
tsla,64.0,206.0
turn,83.0,95.0
uber,24.0,61.0
ll,15.0,41.0
iii,19.0,11.0
pe,47.0,41.0
live,62.0,83.0
jnj,34.0,17.0
pg,28.0,4.0
ebon,25.0,
td,54.0,165.0
road,38.0,15.0
rh,47.0,109.0
ego,24.0,23.0
trvg,9.0,
zkin,18.0,
ath,33.0,73.0
rsi,39.0,55.0
jack,30.0,18.0
ma,36.0,68.0
frx,14.0,9.0
sndl,18.0,30.0
info,67.0,157.0
ta,38.0,48.0
co,38.0,70.0
loan,28.0,58.0
biol,18.0,18.0
mvis,20.0,31.0
form,47.0,136.0
pds,9.0,3.0
hr,12.0,26.0
agc,8.0,24.0
bioc,8.0,
wti,14.0,30.0
ivr,17.0,15.0
gsat,13.0,40.0
team,42.0,107.0
box,16.0,18.0
ebay,20.0,51.0
ross,8.0,5.0
jp,13.0,6.0
vuzi,9.0,5.0
fox,12.0,11.0
boom,15.0,14.0
trch,10.0,14.0
rblx,43.0,74.0
u,19.0,47.0
gogo,7.0,8.0
otglf,6.0,2.0
peak,30.0,51.0
mass,13.0,13.0
pace,39.0,20.0
aal,10.0,25.0
leap,10.0,157.0
onto,29.0,67.0
son,18.0,14.0
band,18.0,31.0
tlry,42.0,106.0
aim,19.0,25.0
xela,12.0,12.0
ship,23.0,33.0
nok,44.0,63.0
wrap,13.0,26.0
sp,14.0,44.0
mara,12.0,8.0
pt,15.0,15.0
li,16.0,24.0
cd,8.0,7.0
dk,6.0,33.0
ke,3.0,
st,16.0,16.0
lazy,8.0,16.0
eyes,30.0,43.0
mr,6.0,4.0
site,38.0,85.0
v,26.0,45.0
tr,11.0,36.0
eric,7.0,5.0
pltr,26.0,124.0
baba,11.0,21.0
qfin,8.0,12.0
ba,11.0,163.0
ston,6.0,4.0
lee,11.0,14.0
nflx,7.0,14.0
evc,6.0,4.0
